Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2004,"(8.25, 16.43, 56.02)","(243,57,0)","(0.42, 0.85, -0.31)",1.76,0.47
2004,"(7.59, 16.17, 54.41)","(243,57,0)","(0.42, 0.85, -0.31)",1.49,1.03
2004,"(6.54, 16.31, 53.36)","(243,57,0)","(0.42, 0.85, -0.31)",3.61,0.41
2004,"(6.46, 15.1, 49.96)","(243,57,0)","(-0.42, -0.85, 0.31)",6.05,1.96
2004,"(7.18, 12.72, 44.45)","(243,57,0)","(-0.42, -0.85, 0.31)",3.57,0.08
2004,"(6.58, 11.78, 41.06)","(243,57,1)","(0.42, 0.85, -0.31)",3.89,0.37
2004,"(6.22, 10.61, 37.37)","(243,57,1)","(-0.42, -0.85, 0.31)",3.57,0.75
2004,"(6.08, 9.44, 34)","(243,57,0)","(0.42, 0.85, -0.31)",0.55,0.87
2004,"(6.58, 9.22, 34.05)","(243,57,0)","(-0.42, -0.85, 0.31)",4.48,2.28
2004,"(3.09, 3.28, 13.11)","(243,57,1)","(0.42, 0.85, -0.31)",1.03,1.87
2004,"(2.87, 3.72, 14.02)","(243,56,1)","(0.42, 0.85, -0.31)",0.24,0.31
2004,"(2.84, 3.81, 14.24)","(243,56,2)","(-0.42, -0.85, 0.31)",0.82,1.39
2004,"(2.64, 4.17, 14.95)","(243,56,2)","(0.42, 0.85, -0.31)",1.63,2.55
2004,"(2.2, 4.9, 16.34)","(243,57,0)","(0.42, 0.85, -0.31)",5.77,4.43
2004,"(2.27, 2.88, 10.94)","(243,57,0)","(-0.42, -0.85, 0.31)",6.68,1.79
2004,"(3.08, 4.81, 17.28)","(243,57,0)","(0.41, 0.86, -0.31)",1.7,2.32
2004,"(2.62, 5.56, 18.73)","(243,57,0)","(0.42, 0.85, -0.31)",6.48,1.77
2004,"(2.13, 3.56, 12.59)","(243,57,0)","(-0.42, -0.85, 0.31)",7.04,0.37
2004,"(3.14, 5.5, 19.28)","(243,57,0)","(-0.42, -0.85, 0.31)",0.53,0.22
2004,"(3.15, 5.68, 19.78)","(243,57,0)","(0.42, 0.85, -0.31)",1.69,1.22
2004,"(2.97, 6.34, 21.32)","(243,57,0)","(0.43, 0.85, -0.31)",3.82,1.05
2004,"(3.04, 7.62, 24.92)","(243,57,0)","(0.41, 0.85, -0.31)",5.96,0.28
2004,"(2.26, 5.93, 19.26)","(243,57,0)","(0.43, 0.85, -0.31)",0.32,0.44
2004,"(2.15, 6.08, 19.52)","(243,57,0)","(0.43, 0.85, -0.31)",2.32,0.74
2004,"(2.66, 6.64, 21.71)","(243,57,0)","(-0.42, -0.85, 0.31)",1.9,0.1
2004,"(7.14, -3.27, 0.66)","(243,57,0)","(-0.42, -0.85, 0.31)",4.24,26.02
2004,"(8.01, -2.23, 4.68)","(243,57,0)","(0.42, 0.85, -0.31)",6.74,38.2
2004,"(13.71, 11.55, 49.99)","(243,57,1)","(-0.42, -0.85, 0.31)",16.94,0.01
2004,"(9.42, -2.25, 6.53)","(243,55,4)","(0.43, 0.85, -0.31)",0.92,4.05
2004,"(8.72, -1.77, 6.88)","(243,57,0)","(0.42, 0.85, -0.31)",2.13,5.81
2004,"(7.69, -1.94, 5.02)","(243,57,1)","(0.42, 0.85, -0.31)",5.4,17.54
2004,"(3.91, -1.49, 1.19)","(243,57,0)","(0.42, 0.85, -0.31)",3.19,46.99
2004,"(2.24, -1.66, -1.52)","(243,57,0)","(-0.42, -0.85, 0.31)",4.62,44.79
2004,"(5.68, -2.25, 1.5)","(243,57,0)","(-0.42, -0.85, 0.31)",3.71,35.25
2004,"(4.04, -0.42, 4.28)","(243,57,0)","(0.42, 0.85, -0.31)",11.51,38.02
2004,"(2.68, 4.09, 14.78)","(243,57,1)","(-0.42, -0.85, 0.31)",21.35,0.87
2004,"(6.85, 9.44, 35.02)","(242,53,8)","(-0.42, -0.85, 0.31)",4.76,0.04
2004,"(7.76, 10.64, 39.54)","(243,56,2)","(0.42, 0.85, -0.31)",4.99,0.13
2004,"(6.76, 9.41, 34.81)","(243,56,3)","(-0.38, -0.87, 0.32)",7.19,2.89
2004,"(6.79, 6.92, 28.06)","(243,57,0)","(-0.42, -0.85, 0.31)",18.18,7.14
2004,"(3.92, 2.02, 10.79)","(243,57,0)","(0.42, 0.85, -0.31)",11.87,71.92
2004,"(11.72, -0.69, 13.89)","(243,55,3)","(-0.42, -0.85, 0.31)",11.38,3.86
2004,"(17.68, -0.07, 23.57)","(243,55,4)","(-0.42, -0.85, 0.31)",5.53,7.34
2004,"(0.16, 0.13, 0.57)","(242,51,13)","(0.43, 0.85, -0.31)",0.39,3.41
2004,"(0.16, 0.13, 0.57)","(242,55,5)","(0.43, 0.85, -0.31)",0.39,3.41
2004,"(0.99, -0.65, -0.44)","(243,57,0)","(0.44, 0.85, -0.3)",0.84,33.83
2004,"(0.54, -0.22, 0.12)","(243,57,0)","(0.41, 0.85, -0.31)",0.69,69.53
2004,"(0.16, 0.13, 0.57)","(242,53,8)","(0.43, 0.85, -0.31)",0.39,3.41
2004,"(0.16, 0.13, 0.57)","(242,52,11)","(0.43, 0.85, -0.31)",0.39,3.41
2004,"(22.69, -2.31, 24.22)","(242,54,5)","(-0.42, -0.85, 0.31)",7.28,1.2
2004,"(28.13, -3.25, 28.97)","(242,53,8)","(-0.42, -0.85, 0.31)",2.05,0.94
2004,"(29.06, -3.04, 30.78)","(242,54,7)","(0.42, 0.85, -0.31)",2.93,2.47
2004,"(26.41, -1.97, 30.12)","(242,54,6)","(0.42, 0.85, -0.31)",7,9.65
2004,"(22.59, 1.61, 34.77)","(242,54,5)","(0.42, 0.85, -0.31)",16.29,19.08
2004,"(13.36, 9.98, 45.26)","(241,49,16)","(0.42, 0.85, -0.31)",31.87,10.08
2004,"(9.5, 22.51, 74.31)","(242,51,12)","(-0.42, -0.85, 0.31)",21.54,0.56
2004,"(11.24, 29.13, 94.73)","(241,50,14)","(0.42, 0.85, -0.31)",4.69,0.37
2004,"(10.16, 28.04, 90.3)","(243,57,0)","(0.42, 0.85, -0.31)",5.01,0.23
2004,"(9.3, 26.72, 85.54)","(243,57,0)","(0.41, 0.86, -0.31)",38.9,9.99
2003,"(2.25, 0.7, 0.78)","(243,57,0)","(0.03, -0.79, 0.61)",14.68,18.7
2003,"(12.31, 7.54, 9)","(243,57,0)","(-0.03, 0.79, -0.62)",2.02,1.44
2003,"(13.4, 8.62, 10.31)","(243,57,0)","(0.03, -0.79, 0.62)",5.88,3.96
2003,"(9.94, 5.59, 6.64)","(243,57,0)","(-0.03, 0.78, -0.62)",7.1,13.24
2003,"(5.67, 1.99, 2.25)","(243,57,0)","(-0.03, 0.79, -0.62)",16.27,8.07
2003,"(18.29, 8.62, 10.09)","(243,57,1)","(0.03, -0.79, 0.62)",13.05,0.11
2003,"(28.81, 13.63, 15.96)","(243,57,0)","(0.03, -0.79, 0.62)",8.24,1.76
2003,"(36.17, 16.09, 18.73)","(243,57,0)","(0.03, -0.79, 0.62)",1.47,1.62
2003,"(2.86, 1.55, 1.84)","(243,55,4)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(24.62, 14.88, 17.74)","(243,57,0)","(-0.03, 0.79, -0.62)",6.59,2.42
2003,"(19.1, 12.52, 15.01)","(243,57,0)","(0.03, -0.79, 0.62)",10.47,7.67
2003,"(13.61, 6.89, 8.1)","(243,57,0)","(0.03, -0.79, 0.62)",2.94,9.23
2003,"(15.79, 5.72, 6.52)","(243,57,0)","(0.03, -0.79, 0.62)",2.99,2.42
2003,"(37.51, 15.74, 18.23)","(243,57,0)","(-0.03, 0.79, -0.62)",13.96,2.08
2003,"(9.43, 2.05, 2.16)","(243,57,0)","(-0.03, 0.79, -0.61)",3.39,0.32
2003,"(6.21, 1.33, 1.39)","(243,57,0)","(-0.03, 0.79, -0.62)",2.6,0.34
2003,"(8.68, 1.89, 1.99)","(243,57,0)","(0.03, -0.79, 0.62)",2.79,2.7
2003,"(5.95, 1.49, 1.61)","(243,57,0)","(-0.03, 0.78, -0.62)",1.47,4.95
2003,"(4.78, 0.91, 0.94)","(243,57,0)","(-0.03, 0.78, -0.62)",4.02,11.87
2003,"(7.78, 2.64, 2.99)","(243,57,0)","(0.03, -0.79, 0.62)",14.12,17.02
2003,"(15.96, 9.94, 11.88)","(243,57,0)","(-0.03, 0.78, -0.62)",0.85,1.09
2003,"(16.18, 10.46, 12.52)","(243,57,0)","(0.03, -0.79, 0.62)",15.33,11.13
2003,"(6.52, 2.88, 3.35)","(243,57,0)","(-0.03, 0.78, -0.62)",1.59,0.64
2003,"(7.89, 3.41, 3.95)","(243,56,1)","(0.03, -0.78, 0.62)",7.5,6.53
2003,"(12.89, 6.98, 8.26)","(243,57,0)","(0.03, -0.78, 0.62)",6.9,5.61
2003,"(2.86, 1.55, 1.84)","(243,57,1)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(0.52, 0.32, 0.38)","(243,57,0)","(-0.06, 0.8, -0.6)",15.97,3.05
2003,"(11.44, 7.78, 9.34)","(243,57,0)","(0.05, -0.8, 0.6)",16.57,0.22
2003,"(22.89, 15.45, 18.54)","(243,56,2)","(0.03, -0.79, 0.62)",2.89,0.31
2003,"(25.02, 16.71, 20.04)","(243,56,1)","(0.03, -0.79, 0.62)",23.34,9.7
2003,"(2.86, 1.55, 1.84)","(241,50,15)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(242,54,6)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(243,56,3)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(242,53,8)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(242,53,7)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(243,55,3)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(237,33,48)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(238,35,44)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(239,39,37)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(239,38,38)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(2.86, 1.55, 1.84)","(240,44,26)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(22.37, 10.97, 12.88)","(243,57,0)","(0.03, -0.79, 0.62)",6.63,6.15
2003,"(25.37, 11.31, 13.17)","(243,57,0)","(-0.03, 0.79, -0.62)",10.86,14.47
2003,"(20.77, 5.12, 5.53)","(243,57,0)","(-0.03, 0.79, -0.62)",1.08,2.76
2003,"(21.28, 4.54, 4.77)","(243,57,0)","(-0.03, 0.79, -0.62)",10.74,2.56
2003,"(10.88, 2.66, 2.86)","(243,57,0)","(-0.03, 0.79, -0.62)",8.24,13.31
2003,"(18.72, 6.16, 6.94)","(243,57,0)","(0.03, -0.79, 0.62)",6.72,5.09
2003,"(12.24, 4.91, 5.65)","(243,57,0)","(-0.03, 0.79, -0.62)",4.25,14.66
2003,"(8.1, 5.39, 6.46)","(243,57,0)","(0.03, -0.79, 0.62)",20.71,14.22
2003,"(27.03, 11.01, 12.71)","(243,57,0)","(0.03, -0.79, 0.62)",11.29,0.24
2003,"(36.71, 14.82, 17.1)","(243,57,0)","(-0.03, 0.79, -0.62)",9.67,1.56
2003,"(28.99, 11.04, 12.66)","(243,57,0)","(-0.03, 0.79, -0.62)",9.57,2.73
2003,"(21.34, 7.31, 8.28)","(243,55,4)","(-0.03, 0.79, -0.62)",6.69,2
2003,"(15.7, 4.95, 5.56)","(243,55,4)","(-0.03, 0.78, -0.62)",2.13,1.04
2003,"(17.45, 5.75, 6.48)","(243,56,1)","(0.03, -0.78, 0.62)",4.46,3.77
2003,"(13.11, 5.01, 5.74)","(243,57,0)","(-0.03, 0.79, -0.62)",11.5,9.92
2003,"(2.86, 1.55, 1.84)","(243,57,0)","(-0.03, 0.79, -0.62)",1.49,15.12
2003,"(8.65, 5.84, 7)","(243,57,0)","(-0.03, 0.78, -0.62)",11.85,2.82
2003,"(88.54, 51.56, 61.32)","(243,57,0)","(-0.03, 0.79, -0.62)",89.04,6.91
2003,"(25.05, 11.51, 13.44)","(243,57,0)","(-0.03, 0.79, -0.62)",24.67,11.85
2003,"(5.66, 1.64, 1.82)","(243,57,0)","(-0.03, 0.78, -0.62)",4.41,4.81
2003,"(1.56, 0.55, 0.63)","(243,57,0)","(0.03, -0.78, 0.62)",9.3,16
2003,"(46.75, 22.46, 26.33)","(243,57,0)","(0.03, -0.79, 0.62)",15.22,0.37
2003,"(58.69, 28.57, 33.52)","(243,57,0)","(-0.03, 0.79, -0.62)",18,2.1
2003,"(43.17, 22.59, 26.65)","(243,57,0)","(-0.03, 0.79, -0.62)",28.81,2.45
2003,"(20.07, 11.41, 13.55)","(243,57,0)","(-0.03, 0.79, -0.62)",13.6,5.09
2003,"(9.13, 6.16, 7.4)","(243,57,1)","(0.03, -0.79, 0.62)",6.35,0.96
2003,"(13.73, 8.97, 10.75)","(243,57,0)","(0.03, -0.79, 0.62)",0.98,2.88
2003,"(14.4, 8.54, 10.17)","(243,57,0)","(0.03, -0.79, 0.62)",1.22,2.99
2003,"(15.56, 8.34, 9.86)","(243,57,0)","(0.03, -0.79, 0.62)",1.29,2.05
2003,"(16.85, 8.42, 9.9)","(243,57,0)","(0.03, -0.79, 0.62)",1.03,1.31
2003,"(17.87, 8.53, 10)","(243,57,0)","(0.03, -0.79, 0.62)",1.05,1.29
2003,"(18.91, 8.63, 10.07)","(243,57,0)","(0.03, -0.79, 0.62)",5.03,2.06
2003,"(64.99, 41.06, 49.09)","(243,57,0)","(-0.03, 0.79, -0.62)",61.2,10.19
2003,"(1, 0.35, 0.4)","(243,57,0)","(-0.04, 0.77, -0.64)",0.63,6.55
2003,"(1.62, 0.43, 0.47)","(243,57,0)","(0.03, -0.78, 0.63)",1.72,2.99
2003,"(3.28, 0.75, 0.8)","(243,57,0)","(0.03, -0.78, 0.62)",14.13,21.29
2003,"(13.3, 7.14, 8.44)","(243,57,0)","(0.03, -0.79, 0.62)",7.05,2.52
2003,"(2.89, 1.23, 1.42)","(243,57,0)","(0.03, -0.78, 0.62)",1.84,5.32
2003,"(4.64, 1.61, 1.83)","(243,57,0)","(0.03, -0.78, 0.62)",4.68,10.34
2003,"(7.67, 3.89, 4.57)","(241,50,13)","(0.03, -0.79, 0.62)",8.55,6.93
2003,"(12.83, 8.22, 9.83)","(241,49,17)","(-0.03, 0.78, -0.62)",2.01,1.1
2003,"(13.95, 9.27, 11.12)","(242,52,10)","(0.03, -0.79, 0.62)",4.12,2.1
2003,"(11.54, 7.15, 8.53)","(243,55,3)","(0.02, -0.78, 0.62)",0.61,0.4
2003,"(11.18, 6.83, 8.15)","(243,57,1)","(-0.03, 0.78, -0.62)",1.96,1.73
2003,"(12.19, 7.9, 9.45)","(243,57,0)","(-0.04, 0.79, -0.61)",1.76,0.55
2003,"(13.29, 8.77, 10.51)","(243,57,0)","(-0.03, 0.78, -0.62)",2.75,0.36
2003,"(11.3, 7.55, 9.05)","(243,57,0)","(-0.03, 0.79, -0.62)",7.65,0.58
2003,"(16.42, 11.18, 13.43)","(243,57,0)","(0.05, -0.79, 0.61)",11.41,0.28
2003,"(148.91, 89.47, 106.63)","(243,57,0)","(-0.03, 0.79, -0.62)",84.47,0.93
2003,"(3.47, 1.18, 1.34)","(243,57,0)","(0.03, -0.78, 0.62)",0.39,5.24
2003,"(3.45, 0.94, 1.03)","(243,57,0)","(-0.03, 0.78, -0.62)",0.34,4.13
2003,"(3.33, 0.74, 0.78)","(243,57,0)","(0.02, -0.76, 0.65)",0.92,0.67
2003,"(4.22, 0.9, 0.95)","(243,57,0)","(0.04, -0.82, 0.57)",0.21,2.65
2003,"(7.88, 4.92, 5.87)","(243,57,0)","(0.03, -0.78, 0.62)",1.01,1.45
2003,"(8.36, 5.48, 6.56)","(243,57,0)","(-0.03, 0.78, -0.62)",6.01,1.32
2003,"(4.26, 2.67, 3.19)","(243,57,0)","(0.03, -0.78, 0.62)",5.75,1.54
2003,"(8.59, 5.11, 6.09)","(243,57,0)","(0.03, -0.79, 0.62)",3.9,1.99
2003,"(11.79, 6.56, 7.78)","(243,57,0)","(0.03, -0.79, 0.62)",1.74,0.9
2003,"(13.27, 7.17, 8.47)","(243,57,0)","(0.03, -0.79, 0.62)",6.46,1.93
2003,"(8.56, 4.33, 5.09)","(243,57,0)","(-0.03, 0.79, -0.62)",8.77,7.38
2003,"(1.82, 0.71, 0.81)","(243,57,0)","(-0.03, 0.79, -0.62)",1.39,12.28
2003,"(0.55, 0.33, 0.39)","(243,57,0)","(-0.01, -0.76, 0.64)",87.08,4.01
2003,"(60.03, 41.02, 49.27)","(243,57,0)","(0.03, -0.78, 0.62)",70.14,0.43
2003,"(108.83, 73.29, 87.96)","(243,57,0)","(0.03, -0.79, 0.62)",66.87,1.89
2003,"(1.66, 0.49, 0.54)","(243,57,0)","(-0.03, 0.79, -0.61)",0.69,4.3
2003,"(0.8, 0.37, 0.43)","(243,57,0)","(-0.16, 0.8, -0.58)",0.1,6.14
2003,"(0.85, 0.31, 0.36)","(243,57,0)","(0.02, -0.79, 0.62)",0.43,1.86
2003,"(0.48, 0.16, 0.19)","(243,57,0)","(-0.03, 0.78, -0.62)",3.64,18.81
2003,"(2.87, 1.91, 2.3)","(243,57,0)","(0.05, -0.8, 0.6)",2.81,1.02
2003,"(17.98, 10.51, 12.5)","(243,57,0)","(-0.03, 0.78, -0.62)",12.93,2.05
2003,"(8.69, 4.74, 5.61)","(243,57,0)","(-0.03, 0.79, -0.62)",0.46,2.31
2003,"(8.34, 4.92, 5.85)","(243,57,0)","(0.03, -0.79, 0.62)",8.76,1.71
2003,"(14.38, 8.98, 10.73)","(243,57,0)","(0.02, -0.78, 0.62)",1.33,0.36
2003,"(13.35, 8.44, 10.09)","(243,57,0)","(-0.03, 0.79, -0.62)",10.82,0.13
2003,"(5.63, 3.58, 4.27)","(243,57,0)","(-0.03, 0.78, -0.62)",1.03,2.95
2003,"(5.2, 2.99, 3.55)","(243,57,0)","(0.03, -0.79, 0.62)",13.44,0.36
2003,"(15.31, 8.69, 10.32)","(243,57,0)","(0.03, -0.79, 0.62)",4.63,0.71
2003,"(11.97, 6.64, 7.86)","(243,57,0)","(-0.03, 0.79, -0.62)",40.06,3.06
2003,"(40.32, 24.78, 29.58)","(243,57,0)","(0.03, -0.79, 0.62)",107.46,0.52
2003,"(118.98, 71.85, 85.66)","(243,57,0)","(0.03, -0.79, 0.62)",40.57,0.15
2003,"(2.84, 1.03, 1.17)","(243,57,0)","(0.03, -0.78, 0.62)",0.67,1.53
2003,"(3.14, 1.68, 1.98)","(243,57,0)","(0.03, -0.78, 0.62)",0.5,4.77
2003,"(3.63, 1.64, 1.92)","(243,57,0)","(0.03, -0.79, 0.62)",0.46,5.41
2003,"(3.67, 1.36, 1.56)","(243,57,0)","(-0.03, 0.78, -0.62)",0.86,8.56
2003,"(3.34, 0.86, 0.94)","(243,57,0)","(-0.03, 0.79, -0.62)",1.93,8
2003,"(4.19, 1.03, 1.11)","(243,57,0)","(0.03, -0.78, 0.63)",1.6,11.67
2003,"(2.59, 1.04, 1.2)","(243,57,0)","(-0.03, 0.79, -0.62)",1.32,4.98
2003,"(1.39, 0.67, 0.78)","(243,57,0)","(-0.03, 0.79, -0.62)",0.22,7.27
2003,"(1.52, 0.56, 0.64)","(243,57,0)","(0.03, -0.78, 0.62)",104.1,17.3
2003,"(72.79, 49.11, 58.95)","(243,57,0)","(0.03, -0.79, 0.62)",35.59,0.06
2003,"(97.4, 65.57, 78.7)","(243,57,0)","(0.03, -0.79, 0.62)",17.6,0.04
2003,"(109.44, 73.78, 88.56)","(243,57,0)","(-0.03, 0.79, -0.61)",103.7,1.28
2003,"(38.94, 25.14, 30.1)","(243,57,0)","(-0.03, 0.79, -0.62)",51.71,24.35
2003,"(3.67, 0.95, 1.03)","(243,57,0)","(0.03, -0.78, 0.62)",0.04,0.53
2003,"(3.66, 0.92, 1)","(243,57,0)","(-0.03, 0.78, -0.62)",0.86,1.83
2003,"(2.89, 0.66, 0.71)","(243,57,0)","(0.02, -0.75, 0.66)",1.25,5.18
2003,"(1.95, 0.69, 0.79)","(243,57,0)","(-0.03, 0.79, -0.62)",1.25,7.07
2003,"(9.81, 1.88, 1.92)","(243,57,0)","(0.05, -0.83, 0.55)",1.32,0.44
2003,"(11.06, 2.17, 2.24)","(243,57,0)","(0.03, -0.78, 0.62)",2.09,0.24
2003,"(13.06, 2.6, 2.69)","(243,57,0)","(0.03, -0.8, 0.6)",7.81,2.92
2003,"(5.48, 1.28, 1.37)","(243,57,0)","(-0.03, 0.79, -0.62)",4.96,23.1
2003,"(4.9, 3.16, 3.78)","(243,57,0)","(0.03, -0.79, 0.61)",0.52,0.46
2003,"(5.31, 3.37, 4.03)","(243,57,0)","(-0.02, 0.78, -0.62)",3.82,4.82
2003,"(2.82, 1.52, 1.8)","(243,57,0)","(-0.03, 0.79, -0.62)",1.8,11.02
2003,"(1.71, 0.62, 0.71)","(243,57,0)","(-0.03, 0.79, -0.62)",0.33,6.47
2003,"(1.38, 0.64, 0.74)","(243,57,0)","(0.62, 0.53, -0.58)",0.48,8.96
2003,"(0.91, 0.57, 0.68)","(243,57,0)","(0.05, -0.79, 0.61)",0.88,21.65
2003,"(1.78, 0.5, 0.55)","(243,57,0)","(0.03, -0.79, 0.62)",2.29,0.47
2003,"(3.88, 1.11, 1.23)","(243,57,0)","(0.03, -0.78, 0.62)",1.13,2.08
2003,"(4.83, 1.52, 1.69)","(243,57,0)","(0.03, -0.78, 0.62)",2.08,0.41
2003,"(2.94, 0.94, 1.05)","(243,57,0)","(-0.03, 0.79, -0.62)",1.52,1.31
2003,"(1.55, 0.52, 0.59)","(243,57,0)","(0.03, -0.78, 0.62)",1.5,1.86
2003,"(3.01, 1.42, 1.66)","(243,57,0)","(-0.03, 0.79, -0.62)",0.43,3.62
2003,"(96.76, 18.47, 18.9)","(243,57,0)","(0.03, -0.79, 0.62)",49.57,2.52
2003,"(48.4, 10.67, 11.28)","(243,57,0)","(-0.03, 0.79, -0.62)",43.99,24.21
2003,"(5.67, 3.28, 3.9)","(243,57,0)","(0.03, -0.78, 0.62)",0.61,2.62
2003,"(5.5, 2.91, 3.44)","(243,57,0)","(-0.02, 0.78, -0.62)",0.97,7.6
2003,"(4.73, 1.72, 1.96)","(243,57,0)","(0.03, -0.79, 0.62)",2.43,6.28
2003,"(6.32, 2.89, 3.38)","(243,57,0)","(-0.44, -0.64, 0.62)",1.35,1.66
2003,"(5.33, 2.3, 2.67)","(243,57,0)","(-0.03, 0.78, -0.62)",3.56,3.17
2003,"(2.45, 0.94, 1.08)","(243,57,0)","(-0.03, 0.78, -0.62)",1.55,3.99
2003,"(1.16, 0.38, 0.43)","(243,57,0)","(0.03, -0.78, 0.62)",1.09,1.36
2003,"(2.16, 0.67, 0.75)","(243,57,0)","(0.03, -0.78, 0.62)",1.4,1.22
2003,"(3.46, 1.02, 1.13)","(243,57,0)","(0.03, -0.79, 0.62)",1.31,0.57
2003,"(4.68, 1.34, 1.49)","(243,57,0)","(0.03, -0.78, 0.62)",0.31,0.3
2003,"(4.41, 1.25, 1.38)","(243,57,0)","(-0.03, 0.79, -0.62)",1.66,1.51
2003,"(2.91, 0.77, 0.84)","(243,57,0)","(-0.03, 0.79, -0.62)",0.38,1.59
2003,"(2.54, 0.72, 0.8)","(243,57,0)","(0.03, -0.79, 0.62)",0.59,5.32
2003,"(2.79, 0.6, 0.62)","(243,57,0)","(-0.01, -0.67, 0.74)",7.25,1.87
2003,"(12.95, 5.41, 6.26)","(243,57,0)","(-0.03, 0.79, -0.62)",2.36,3.93
2003,"(10.63, 5.11, 5.98)","(243,57,0)","(0.03, -0.79, 0.62)",6.46,10.46
2003,"(17.07, 5.54, 6.24)","(243,57,0)","(0.03, -0.79, 0.62)",8.6,7.09
2003,"(25.65, 6.02, 6.45)","(243,57,0)","(-0.03, 0.78, -0.62)",6.3,2.92
2003,"(0.68, 0.39, 0.47)","(243,57,0)","(0.04, -0.79, 0.61)",2.82,22.45
2003,"(3.43, 0.83, 0.89)","(243,57,0)","(0.03, -0.78, 0.62)",0.26,1.18
2003,"(3.22, 0.73, 0.78)","(243,57,0)","(-0.03, 0.78, -0.63)",1.69,26.64
2003,"(2.66, 1.7, 2.04)","(243,57,0)","(0.02, -0.78, 0.63)",1,0.7
2003,"(3.41, 2.13, 2.55)","(243,57,0)","(-0.01, 0.78, -0.63)",2.92,2.79
2003,"(1.38, 0.79, 0.93)","(243,57,0)","(-0.03, 0.79, -0.62)",0.65,10.05
2003,"(2.03, 0.81, 0.94)","(243,57,0)","(0.03, -0.79, 0.62)",0.75,2.2
2003,"(2.6, 1.13, 1.31)","(243,57,0)","(-0.02, 0.78, -0.62)",0.42,0.98
2003,"(2.23, 1, 1.17)","(243,57,0)","(0.02, -0.78, 0.62)",0.87,14.32
2003,"(2.98, 0.75, 0.81)","(243,57,0)","(-0.03, 0.79, -0.62)",0.51,1.34
2003,"(3.42, 0.92, 1)","(243,57,0)","(0.03, -0.79, 0.62)",0.92,14.33
2003,"(90.91, 17.49, 17.92)","(243,57,0)","(-0.03, 0.79, -0.62)",6.01,0.12
2003,"(28.21, 8.99, 10.09)","(243,57,0)","(0.05, -0.73, 0.69)",7.93,6.08
2003,"(36.1, 8.72, 9.38)","(243,57,0)","(-0.03, 0.79, -0.62)",8.63,3.4
2003,"(44.73, 9, 9.32)","(243,57,0)","(-0.03, 0.79, -0.62)",12.23,0.73
2003,"(33.11, 6.38, 6.54)","(243,57,0)","(0.03, -0.78, 0.62)",8.15,0.67
2003,"(5.8, 2.35, 2.71)","(243,57,0)","(0.03, -0.79, 0.62)",1.76,8.9
2003,"(7.51, 2.12, 2.35)","(243,57,0)","(0.03, -0.79, 0.61)",1.15,2.92
2003,"(8.66, 2.13, 2.31)","(243,57,0)","(-0.03, 0.79, -0.62)",0.42,2.63
2003,"(8.75, 1.88, 1.98)","(243,57,0)","(-0.03, 0.79, -0.62)",3.65,1.12
2003,"(5.3, 1.07, 1.11)","(243,57,0)","(-0.03, 0.79, -0.61)",4.22,8.52
2003,"(1.2, 0.37, 0.41)","(243,57,0)","(-0.03, 0.79, -0.62)",11.02,21.02
2003,"(8.55, 5.61, 6.73)","(243,57,0)","(0.03, -0.79, 0.62)",19.85,0.5
2003,"(22.61, 14.6, 17.47)","(243,57,0)","(0.03, -0.79, 0.62)",7.96,0.15
2003,"(16.96, 11, 13.18)","(243,57,0)","(-0.03, 0.79, -0.62)",22.95,23.5
2003,"(1.2, 0.32, 0.36)","(243,57,0)","(0.03, -0.77, 0.63)",0.82,3.34
2003,"(2, 0.46, 0.49)","(243,57,0)","(0.04, -0.82, 0.57)",0.81,1.42
2003,"(22.59, 6.21, 6.82)","(243,57,1)","(-0.03, 0.78, -0.63)",9.69,10.39
2003,"(26.4, 10.26, 11.79)","(243,57,0)","(-0.03, 0.79, -0.62)",15.66,2.93
2003,"(13.33, 4.63, 5.25)","(243,57,0)","(-0.03, 0.79, -0.62)",5.82,11.78
2003,"(9.42, 1.87, 1.94)","(243,57,0)","(0.03, -0.8, 0.6)",0.27,1.22
2003,"(9.52, 2.03, 2.13)","(243,57,0)","(0.03, -0.78, 0.62)",0.1,0.35
