Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2017,"(3.6, 2.32, 2.62)","(241,48,18)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(241,47,20)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(241,49,16)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(2.08, 1.29, 1.48)","(243,57,0)","(-0.44, -0.15, 0.88)",0.86,1.14
2017,"(2.75, 1.63, 1.89)","(243,57,0)","(0.42, 0.28, -0.86)",0.13,0.63
2017,"(2.63, 1.6, 1.84)","(243,57,0)","(-0.14, -0.64, 0.75)",0.24,2.3
2017,"(2.4, 1.61, 1.78)","(243,57,0)","(-0.56, 0.83, 0)",0.58,2
2017,"(2.89, 1.78, 2.04)","(243,57,0)","(-0.2, -0.58, 0.79)",2.73,0.84
2017,"(0.91, 0.54, 0.63)","(243,57,1)","(0.09, 0.69, -0.72)",0.73,0.39
2017,"(1.44, 0.87, 1)","(243,57,1)","(0.24, 0.53, -0.81)",12.04,0.26
2017,"(10.34, 6.18, 7.13)","(243,57,0)","(0.21, 0.57, -0.8)",26.95,0.45
2017,"(30.04, 18.29, 20.98)","(243,57,0)","(0.19, 0.59, -0.78)",14.74,0.9
2017,"(40.26, 25.45, 28.83)","(243,57,0)","(-0.19, -0.59, 0.79)",26.66,1.26
2017,"(58.29, 38.82, 43.22)","(243,57,0)","(-0.19, -0.59, 0.79)",2.44,0.09
2017,"(56.48, 37.76, 41.98)","(243,57,0)","(-0.14, -0.64, 0.76)",10.46,0.51
2017,"(49.52, 32.42, 36.29)","(243,57,0)","(-0.21, -0.57, 0.79)",44.38,2.41
2017,"(18.59, 11.01, 12.75)","(243,57,0)","(-0.16, -0.62, 0.77)",5.51,0.06
2017,"(2.16, 1.3, 1.5)","(243,57,0)","(0.18, 0.61, -0.78)",0.5,0.21
2017,"(2.52, 1.53, 1.76)","(243,56,1)","(-0.17, -0.61, 0.77)",2.31,1.46
2017,"(4.12, 2.66, 2.99)","(243,57,1)","(0.21, 0.57, -0.79)",2.81,0.13
2017,"(6.12, 3.97, 4.46)","(243,57,0)","(0.16, 0.61, -0.77)",9.23,0.41
2015,"(2.53, 1.29, 1.46)","(243,55,4)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.53, 1.29, 1.46)","(243,57,1)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.53, 1.29, 1.46)","(243,56,3)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.53, 1.29, 1.46)","(243,56,2)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.58, 1.49, 1.73)","(243,57,0)","(-0.08, 0.81, -0.58)",0.34,3.94
2015,"(2.53, 1.29, 1.46)","(243,57,0)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(4.44, 2.47, 2.84)","(243,57,0)","(-0.07, 0.8, -0.59)",2.38,1.23
2015,"(19.36, 11.11, 12.84)","(243,57,0)","(-0.07, 0.81, -0.59)",19.93,0.97
2015,"(17.88, 10.2, 11.79)","(243,57,0)","(0.07, -0.81, 0.59)",20.53,0.44
2015,"(33.13, 19.18, 22.2)","(243,57,0)","(0.11, -0.83, 0.55)",18.5,0.28
2015,"(2.53, 1.29, 1.46)","(243,56,1)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.53, 1.29, 1.46)","(242,55,5)","(0.07, -0.8, 0.59)",3.06,0.54
2015,"(2.33, 1.02, 1.12)","(243,57,0)","(0.08, -0.82, 0.57)",2.46,0.33
2015,"(4.41, 1.91, 2.09)","(243,57,0)","(0.05, -0.79, 0.61)",16.97,7.31
2015,"(3.04, 1.63, 1.87)","(243,57,0)","(-0.01, 0.77, -0.63)",0.86,3.49
2015,"(2.51, 1.2, 1.35)","(243,57,0)","(-0.06, 0.79, -0.61)",20.65,5.37
2015,"(24.35, 13.93, 16.1)","(243,57,0)","(-0.07, 0.8, -0.59)",5.85,0.31
2015,"(19.85, 11.47, 13.28)","(243,57,0)","(0.17, -0.85, 0.5)",3.25,0.69
2015,"(17.61, 9.96, 11.48)","(243,57,0)","(0.06, -0.8, 0.6)",5.82,0.82
2015,"(13.37, 7.37, 8.45)","(243,57,0)","(-0.07, 0.8, -0.59)",5.16,0.12
2015,"(9.4, 5.2, 5.97)","(243,57,0)","(-0.07, 0.8, -0.59)",4.6,1.7
2015,"(6.03, 3.16, 3.59)","(243,57,0)","(-0.07, 0.8, -0.59)",3.96,2.95
2015,"(3.05, 1.45, 1.62)","(243,57,0)","(-0.07, 0.8, -0.59)",1.02,2.26
2015,"(2.29, 1.01, 1.11)","(243,57,0)","(0.07, -0.81, 0.59)",0.8,0.1
2015,"(2.96, 1.3, 1.43)","(243,57,0)","(-0.07, 0.8, -0.6)",1.72,0.15
2015,"(1.52, 0.67, 0.73)","(243,57,0)","(-0.05, 0.78, -0.62)",0.32,0.23
2015,"(1.79, 0.78, 0.86)","(243,57,0)","(0.06, -0.8, 0.6)",4.56,3.79
2015,"(5.36, 2.66, 2.99)","(243,57,0)","(0.07, -0.8, 0.59)",0.15,0.19
2015,"(5.23, 2.61, 2.94)","(243,57,0)","(-0.07, 0.8, -0.59)",3.81,2.48
2015,"(7.99, 4.32, 4.94)","(243,57,0)","(0.06, -0.8, 0.6)",6.85,1.01
