Major_dist,Major_link,Major_points
30.22,27,({313.5, 119, 0}{305, 148, 0})
30.37,50,({313.5, 119, 0}{288, 102.5, 0})
0.5,42,({313.5, 118.5, 0}{313.5, 119, 0})
21.93,49,({313.5, 118.5, 0}{298.5, 102.5, 0})
29.26,34,({313.5, 118.5, 0}{289, 134.5, 0})
30.1,50,({313.5, 118.5, 0}{288, 102.5, 0})
30.7,27,({313.5, 118.5, 0}{305, 148, 0})
18.01,53,({235, 148, 0}{234.5, 130, 0})
18.61,38,({235, 148, 0}{253.5, 150, 0})
19.16,37,({235, 148, 0}{254, 150.5, 0})
21.03,46,({235, 148, 0}{245, 129.5, 0})
21.03,45,({235, 148, 0}{245, 129.5, 0})
0,46,({245, 129.5, 0}{245, 129.5, 0})
10.51,53,({245, 129.5, 0}{234.5, 130, 0})
15.95,41,({245, 129.5, 0}{257, 140, 0})
21.03,44,({245, 129.5, 0}{235, 148, 0})
22.19,38,({245, 129.5, 0}{253.5, 150, 0})
0,45,({245, 129.5, 0}{245, 129.5, 0})
10.51,53,({245, 129.5, 0}{234.5, 130, 0})
15.95,41,({245, 129.5, 0}{257, 140, 0})
21.03,44,({245, 129.5, 0}{235, 148, 0})
22.19,38,({245, 129.5, 0}{253.5, 150, 0})
20.57,40,({220.5, 211, 0}{239, 202, 0})
23.05,36,({220.5, 211, 0}{241.5, 201.5, 0})
26.1,35,({220.5, 211, 0}{245.5, 203.5, 0})
46.51,26,({220.5, 211, 0}{267, 210, 0})
47.94,21,({220.5, 211, 0}{266.5, 197.5, 0})
12.82,50,({276, 107, 0}{288, 102.5, 0})
22.95,49,({276, 107, 0}{298.5, 102.5, 0})
28.04,39,({276, 107, 0}{270.5, 134.5, 0})
30.42,34,({276, 107, 0}{289, 134.5, 0})
38.08,41,({276, 107, 0}{257, 140, 0})
10.5,50,({298.5, 102.5, 0}{288, 102.5, 0})
21.93,43,({298.5, 102.5, 0}{313.5, 118.5, 0})
22.3,42,({298.5, 102.5, 0}{313.5, 119, 0})
22.95,48,({298.5, 102.5, 0}{276, 107, 0})
33.38,34,({298.5, 102.5, 0}{289, 134.5, 0})
10.5,49,({288, 102.5, 0}{298.5, 102.5, 0})
12.82,48,({288, 102.5, 0}{276, 107, 0})
30.1,43,({288, 102.5, 0}{313.5, 118.5, 0})
30.37,42,({288, 102.5, 0}{313.5, 119, 0})
32.02,34,({288, 102.5, 0}{289, 134.5, 0})
1.12,52,({310, 280.5, 0}{309, 281, 0})
43.96,30,({310, 280.5, 0}{295.5, 239, 0})
44.13,31,({310, 280.5, 0}{295, 239, 0})
45.14,29,({310, 280.5, 0}{306.5, 235.5, 0})
45.22,28,({310, 280.5, 0}{305.5, 235.5, 0})
1.12,51,({309, 281, 0}{310, 280.5, 0})
44.12,30,({309, 281, 0}{295.5, 239, 0})
44.27,31,({309, 281, 0}{295, 239, 0})
45.57,29,({309, 281, 0}{306.5, 235.5, 0})
45.63,28,({309, 281, 0}{305.5, 235.5, 0})
10.51,46,({234.5, 130, 0}{245, 129.5, 0})
10.51,45,({234.5, 130, 0}{245, 129.5, 0})
18.01,44,({234.5, 130, 0}{235, 148, 0})
24.62,41,({234.5, 130, 0}{257, 140, 0})
27.59,38,({234.5, 130, 0}{253.5, 150, 0})
1,57,({381.5, 242, 0}{382.5, 242, 0})
64.68,13,({381.5, 242, 0}{322.5, 215.5, 0})
72.9,5,({381.5, 242, 0}{316, 210, 0})
73.34,4,({381.5, 242, 0}{316, 209, 0})
74.7,15,({381.5, 242, 0}{309, 224, 0})
0,56,({356, 113, 0}{356, 113, 0})
42.85,43,({356, 113, 0}{313.5, 118.5, 0})
42.92,42,({356, 113, 0}{313.5, 119, 0})
48.59,33,({356, 113, 0}{353, 161.5, 0})
57.63,23,({356, 113, 0}{315, 153.5, 0})
0,55,({356, 113, 0}{356, 113, 0})
42.85,43,({356, 113, 0}{313.5, 118.5, 0})
42.92,42,({356, 113, 0}{313.5, 119, 0})
48.59,33,({356, 113, 0}{353, 161.5, 0})
57.63,23,({356, 113, 0}{315, 153.5, 0})
1,54,({382.5, 242, 0}{381.5, 242, 0})
65.59,13,({382.5, 242, 0}{322.5, 215.5, 0})
73.8,5,({382.5, 242, 0}{316, 210, 0})
74.24,4,({382.5, 242, 0}{316, 209, 0})
75.67,15,({382.5, 242, 0}{309, 224, 0})
9.22,3,({295.5, 173.5, 0}{293.5, 164.5, 0})
9.92,1,({295.5, 173.5, 0}{288, 180, 0})
10.31,2,({295.5, 173.5, 0}{287.5, 180, 0})
14.01,5,({295.5, 173.5, 0}{295, 159.5, 0})
14.42,4,({295.5, 173.5, 0}{307.5, 165.5, 0})
0.5,2,({288, 180, 0}{287.5, 180, 0})
9.92,0,({288, 180, 0}{295.5, 173.5, 0})
16.45,3,({288, 180, 0}{293.5, 164.5, 0})
21.66,5,({288, 180, 0}{295, 159.5, 0})
24.3,4,({288, 180, 0}{307.5, 165.5, 0})
0.5,1,({287.5, 180, 0}{288, 180, 0})
10.31,0,({287.5, 180, 0}{295.5, 173.5, 0})
16.62,3,({287.5, 180, 0}{293.5, 164.5, 0})
21.83,5,({287.5, 180, 0}{295, 159.5, 0})
24.7,4,({287.5, 180, 0}{307.5, 165.5, 0})
5.22,5,({293.5, 164.5, 0}{295, 159.5, 0})
9.22,0,({293.5, 164.5, 0}{295.5, 173.5, 0})
13.15,9,({293.5, 164.5, 0}{295.5, 151.5, 0})
13.29,10,({293.5, 164.5, 0}{289, 152, 0})
14.04,4,({293.5, 164.5, 0}{307.5, 165.5, 0})
8.32,6,({307.5, 165.5, 0}{312, 158.5, 0})
8.6,7,({307.5, 165.5, 0}{312.5, 158.5, 0})
13.66,8,({307.5, 165.5, 0}{302, 153, 0})
13.87,5,({307.5, 165.5, 0}{295, 159.5, 0})
14.04,3,({307.5, 165.5, 0}{293.5, 164.5, 0})
5.22,3,({295, 159.5, 0}{293.5, 164.5, 0})
8.02,9,({295, 159.5, 0}{295.5, 151.5, 0})
9.55,8,({295, 159.5, 0}{302, 153, 0})
9.6,10,({295, 159.5, 0}{289, 152, 0})
13.87,4,({295, 159.5, 0}{307.5, 165.5, 0})
0.5,7,({312, 158.5, 0}{312.5, 158.5, 0})
8.32,4,({312, 158.5, 0}{307.5, 165.5, 0})
11.41,8,({312, 158.5, 0}{302, 153, 0})
11.93,11,({312, 158.5, 0}{322, 165, 0})
17.03,5,({312, 158.5, 0}{295, 159.5, 0})
0.5,6,({312.5, 158.5, 0}{312, 158.5, 0})
8.6,4,({312.5, 158.5, 0}{307.5, 165.5, 0})
11.51,11,({312.5, 158.5, 0}{322, 165, 0})
11.85,8,({312.5, 158.5, 0}{302, 153, 0})
17.53,5,({312.5, 158.5, 0}{295, 159.5, 0})
6.67,9,({302, 153, 0}{295.5, 151.5, 0})
9.55,5,({302, 153, 0}{295, 159.5, 0})
11.41,6,({302, 153, 0}{312, 158.5, 0})
11.85,7,({302, 153, 0}{312.5, 158.5, 0})
13.04,10,({302, 153, 0}{289, 152, 0})
6.52,10,({295.5, 151.5, 0}{289, 152, 0})
6.67,8,({295.5, 151.5, 0}{302, 153, 0})
8.02,5,({295.5, 151.5, 0}{295, 159.5, 0})
13.15,3,({295.5, 151.5, 0}{293.5, 164.5, 0})
17.92,6,({295.5, 151.5, 0}{312, 158.5, 0})
6.52,9,({289, 152, 0}{295.5, 151.5, 0})
9.6,5,({289, 152, 0}{295, 159.5, 0})
13.04,8,({289, 152, 0}{302, 153, 0})
13.29,3,({289, 152, 0}{293.5, 164.5, 0})
17.03,14,({289, 152, 0}{272, 153, 0})
11.51,7,({322, 165, 0}{312.5, 158.5, 0})
11.93,6,({322, 165, 0}{312, 158.5, 0})
12.65,16,({322, 165, 0}{334, 169, 0})
14.51,4,({322, 165, 0}{307.5, 165.5, 0})
23.32,8,({322, 165, 0}{302, 153, 0})
0.5,13,({266, 165.5, 0}{266, 165, 0})
13.87,14,({266, 165.5, 0}{272, 153, 0})
18.67,23,({266, 165.5, 0}{247.5, 168, 0})
23.88,17,({266, 165.5, 0}{274, 143, 0})
25.93,2,({266, 165.5, 0}{287.5, 180, 0})
0.5,12,({266, 165, 0}{266, 165.5, 0})
13.42,14,({266, 165, 0}{272, 153, 0})
18.74,23,({266, 165, 0}{247.5, 168, 0})
23.41,17,({266, 165, 0}{274, 143, 0})
26.22,2,({266, 165, 0}{287.5, 180, 0})
10.2,17,({272, 153, 0}{274, 143, 0})
13.42,13,({272, 153, 0}{266, 165, 0})
13.87,12,({272, 153, 0}{266, 165.5, 0})
17.03,10,({272, 153, 0}{289, 152, 0})
19.73,21,({272, 153, 0}{275, 133.5, 0})
24.52,22,({290.5, 210, 0}{266.5, 215, 0})
30.1,1,({290.5, 210, 0}{288, 180, 0})
30.15,2,({290.5, 210, 0}{287.5, 180, 0})
35.74,20,({290.5, 210, 0}{256.5, 199, 0})
36.84,0,({290.5, 210, 0}{295.5, 173.5, 0})
12.65,11,({334, 169, 0}{322, 165, 0})
22.3,27,({334, 169, 0}{350.5, 154, 0})
23.93,7,({334, 169, 0}{312.5, 158.5, 0})
24.38,6,({334, 169, 0}{312, 158.5, 0})
26.73,4,({334, 169, 0}{307.5, 165.5, 0})
9.55,21,({274, 143, 0}{275, 133.5, 0})
10.2,14,({274, 143, 0}{272, 153, 0})
16.65,19,({274, 143, 0}{286.5, 132, 0})
17.49,10,({274, 143, 0}{289, 152, 0})
23.12,9,({274, 143, 0}{295.5, 151.5, 0})
13.34,26,({327.5, 206, 0}{340.5, 209, 0})
13.34,25,({327.5, 206, 0}{340.5, 209, 0})
37.22,15,({327.5, 206, 0}{290.5, 210, 0})
37.57,16,({327.5, 206, 0}{334, 169, 0})
41.37,11,({327.5, 206, 0}{322, 165, 0})
11.6,21,({286.5, 132, 0}{275, 133.5, 0})
16.65,17,({286.5, 132, 0}{274, 143, 0})
20.16,10,({286.5, 132, 0}{289, 152, 0})
21.27,31,({286.5, 132, 0}{276, 113.5, 0})
21.48,9,({286.5, 132, 0}{295.5, 151.5, 0})
17.49,24,({256.5, 199, 0}{247.5, 184, 0})
18.87,22,({256.5, 199, 0}{266.5, 215, 0})
30.07,39,({256.5, 199, 0}{236, 221, 0})
32.28,23,({256.5, 199, 0}{247.5, 168, 0})
34.08,46,({256.5, 199, 0}{223.5, 207.5, 0})
9.55,17,({275, 133.5, 0}{274, 143, 0})
11.6,19,({275, 133.5, 0}{286.5, 132, 0})
19.73,14,({275, 133.5, 0}{272, 153, 0})
20.02,31,({275, 133.5, 0}{276, 113.5, 0})
23.16,37,({275, 133.5, 0}{262.5, 114, 0})
18.87,20,({266.5, 215, 0}{256.5, 199, 0})
24.52,15,({266.5, 215, 0}{290.5, 210, 0})
31.08,39,({266.5, 215, 0}{236, 221, 0})
34.68,47,({266.5, 215, 0}{235, 229.5, 0})
36.36,24,({266.5, 215, 0}{247.5, 184, 0})
16,24,({247.5, 168, 0}{247.5, 184, 0})
17.92,30,({247.5, 168, 0}{238.5, 152.5, 0})
18.67,12,({247.5, 168, 0}{266, 165.5, 0})
18.74,13,({247.5, 168, 0}{266, 165, 0})
22.46,28,({247.5, 168, 0}{243, 146, 0})
16,23,({247.5, 184, 0}{247.5, 168, 0})
17.49,20,({247.5, 184, 0}{256.5, 199, 0})
26.16,12,({247.5, 184, 0}{266, 165.5, 0})
26.52,13,({247.5, 184, 0}{266, 165, 0})
32.76,30,({247.5, 184, 0}{238.5, 152.5, 0})
0,26,({340.5, 209, 0}{340.5, 209, 0})
13.34,18,({340.5, 209, 0}{327.5, 206, 0})
40.52,16,({340.5, 209, 0}{334, 169, 0})
47.51,38,({340.5, 209, 0}{371.5, 173, 0})
47.73,11,({340.5, 209, 0}{322, 165, 0})
0,25,({340.5, 209, 0}{340.5, 209, 0})
13.34,18,({340.5, 209, 0}{327.5, 206, 0})
40.52,16,({340.5, 209, 0}{334, 169, 0})
47.51,38,({340.5, 209, 0}{371.5, 173, 0})
47.73,11,({340.5, 209, 0}{322, 165, 0})
11.18,29,({350.5, 154, 0}{352.5, 143, 0})
20.89,42,({350.5, 154, 0}{370, 146.5, 0})
22.3,16,({350.5, 154, 0}{334, 169, 0})
23.69,45,({350.5, 154, 0}{367.5, 137.5, 0})
28.32,38,({350.5, 154, 0}{371.5, 173, 0})
7.91,30,({243, 146, 0}{238.5, 152.5, 0})
8.02,34,({243, 146, 0}{235, 145.5, 0})
8.06,35,({243, 146, 0}{235, 145, 0})
22.46,23,({243, 146, 0}{247.5, 168, 0})
29.6,52,({243, 146, 0}{235, 117.5, 0})
11.18,27,({352.5, 143, 0}{350.5, 154, 0})
15.98,45,({352.5, 143, 0}{367.5, 137.5, 0})
17.85,42,({352.5, 143, 0}{370, 146.5, 0})
31.91,16,({352.5, 143, 0}{334, 169, 0})
35.51,38,({352.5, 143, 0}{371.5, 173, 0})
7.83,34,({238.5, 152.5, 0}{235, 145.5, 0})
7.91,28,({238.5, 152.5, 0}{243, 146, 0})
8.28,35,({238.5, 152.5, 0}{235, 145, 0})
17.92,23,({238.5, 152.5, 0}{247.5, 168, 0})
30.21,13,({238.5, 152.5, 0}{266, 165, 0})
13.12,40,({276, 113.5, 0}{280, 101, 0})
13.21,33,({276, 113.5, 0}{287.5, 107, 0})
13.46,41,({276, 113.5, 0}{279.5, 100.5, 0})
13.51,37,({276, 113.5, 0}{262.5, 114, 0})
20.02,21,({276, 113.5, 0}{275, 133.5, 0})
4.61,36,({327.5, 116.5, 0}{331, 113.5, 0})
19.04,51,({327.5, 116.5, 0}{337, 100, 0})
27.1,49,({327.5, 116.5, 0}{314, 93, 0})
36.43,29,({327.5, 116.5, 0}{352.5, 143, 0})
36.96,43,({327.5, 116.5, 0}{295.5, 98, 0})
9.6,40,({287.5, 107, 0}{280, 101, 0})
10.31,41,({287.5, 107, 0}{279.5, 100.5, 0})
12.04,43,({287.5, 107, 0}{295.5, 98, 0})
12.1,44,({287.5, 107, 0}{295, 97.5, 0})
13.21,31,({287.5, 107, 0}{276, 113.5, 0})
0.5,35,({235, 145.5, 0}{235, 145, 0})
7.83,30,({235, 145.5, 0}{238.5, 152.5, 0})
8.02,28,({235, 145.5, 0}{243, 146, 0})
25.74,23,({235, 145.5, 0}{247.5, 168, 0})
28,52,({235, 145.5, 0}{235, 117.5, 0})
0.5,34,({235, 145, 0}{235, 145.5, 0})
8.06,28,({235, 145, 0}{243, 146, 0})
8.28,30,({235, 145, 0}{238.5, 152.5, 0})
26.18,23,({235, 145, 0}{247.5, 168, 0})
27.5,52,({235, 145, 0}{235, 117.5, 0})
4.61,32,({331, 113.5, 0}{327.5, 116.5, 0})
14.77,51,({331, 113.5, 0}{337, 100, 0})
26.63,49,({331, 113.5, 0}{314, 93, 0})
36.5,29,({331, 113.5, 0}{352.5, 143, 0})
38.74,43,({331, 113.5, 0}{295.5, 98, 0})
13.51,31,({262.5, 114, 0}{276, 113.5, 0})
17.12,53,({262.5, 114, 0}{260.5, 97, 0})
21.71,41,({262.5, 114, 0}{279.5, 100.5, 0})
21.8,40,({262.5, 114, 0}{280, 101, 0})
23.16,21,({262.5, 114, 0}{275, 133.5, 0})
26.54,42,({371.5, 173, 0}{370, 146.5, 0})
28.32,27,({371.5, 173, 0}{350.5, 154, 0})
35.51,29,({371.5, 173, 0}{352.5, 143, 0})
35.72,45,({371.5, 173, 0}{367.5, 137.5, 0})
37.71,16,({371.5, 173, 0}{334, 169, 0})
8.56,47,({236, 221, 0}{235, 229.5, 0})
18.4,46,({236, 221, 0}{223.5, 207.5, 0})
30.07,20,({236, 221, 0}{256.5, 199, 0})
31.08,22,({236, 221, 0}{266.5, 215, 0})
32.2,54,({236, 221, 0}{210, 202, 0})
0.71,41,({280, 101, 0}{279.5, 100.5, 0})
8.06,50,({280, 101, 0}{279, 93, 0})
9.6,33,({280, 101, 0}{287.5, 107, 0})
13.12,31,({280, 101, 0}{276, 113.5, 0})
15.4,44,({280, 101, 0}{295, 97.5, 0})
0.71,40,({279.5, 100.5, 0}{280, 101, 0})
7.52,50,({279.5, 100.5, 0}{279, 93, 0})
10.31,33,({279.5, 100.5, 0}{287.5, 107, 0})
13.46,31,({279.5, 100.5, 0}{276, 113.5, 0})
15.79,44,({279.5, 100.5, 0}{295, 97.5, 0})
9.34,45,({370, 146.5, 0}{367.5, 137.5, 0})
17.85,29,({370, 146.5, 0}{352.5, 143, 0})
20.89,27,({370, 146.5, 0}{350.5, 154, 0})
26.54,38,({370, 146.5, 0}{371.5, 173, 0})
42.45,16,({370, 146.5, 0}{334, 169, 0})
0.71,44,({295.5, 98, 0}{295, 97.5, 0})
6.52,48,({295.5, 98, 0}{296, 91.5, 0})
12.04,33,({295.5, 98, 0}{287.5, 107, 0})
15.79,40,({295.5, 98, 0}{280, 101, 0})
16.19,41,({295.5, 98, 0}{279.5, 100.5, 0})
0.71,43,({295, 97.5, 0}{295.5, 98, 0})
6.08,48,({295, 97.5, 0}{296, 91.5, 0})
12.1,33,({295, 97.5, 0}{287.5, 107, 0})
15.4,40,({295, 97.5, 0}{280, 101, 0})
15.79,41,({295, 97.5, 0}{279.5, 100.5, 0})
9.34,42,({367.5, 137.5, 0}{370, 146.5, 0})
15.98,29,({367.5, 137.5, 0}{352.5, 143, 0})
23.69,27,({367.5, 137.5, 0}{350.5, 154, 0})
35.72,38,({367.5, 137.5, 0}{371.5, 173, 0})
43.68,36,({367.5, 137.5, 0}{331, 113.5, 0})
14.58,54,({223.5, 207.5, 0}{210, 202, 0})
18.4,39,({223.5, 207.5, 0}{236, 221, 0})
24.82,47,({223.5, 207.5, 0}{235, 229.5, 0})
33.59,24,({223.5, 207.5, 0}{247.5, 184, 0})
34.08,20,({223.5, 207.5, 0}{256.5, 199, 0})
8.56,39,({235, 229.5, 0}{236, 221, 0})
24.82,46,({235, 229.5, 0}{223.5, 207.5, 0})
34.68,22,({235, 229.5, 0}{266.5, 215, 0})
37.17,54,({235, 229.5, 0}{210, 202, 0})
37.32,20,({235, 229.5, 0}{256.5, 199, 0})
6.08,44,({296, 91.5, 0}{295, 97.5, 0})
6.52,43,({296, 91.5, 0}{295.5, 98, 0})
17.07,50,({296, 91.5, 0}{279, 93, 0})
17.68,33,({296, 91.5, 0}{287.5, 107, 0})
18.06,49,({296, 91.5, 0}{314, 93, 0})
18.06,48,({314, 93, 0}{296, 91.5, 0})
19.16,43,({314, 93, 0}{295.5, 98, 0})
19.53,44,({314, 93, 0}{295, 97.5, 0})
24.04,51,({314, 93, 0}{337, 100, 0})
26.63,36,({314, 93, 0}{331, 113.5, 0})
7.52,41,({279, 93, 0}{279.5, 100.5, 0})
8.06,40,({279, 93, 0}{280, 101, 0})
16.38,33,({279, 93, 0}{287.5, 107, 0})
16.62,44,({279, 93, 0}{295, 97.5, 0})
17.07,48,({279, 93, 0}{296, 91.5, 0})
14.77,36,({337, 100, 0}{331, 113.5, 0})
19.04,32,({337, 100, 0}{327.5, 116.5, 0})
24.04,49,({337, 100, 0}{314, 93, 0})
41.55,43,({337, 100, 0}{295.5, 98, 0})
41.87,48,({337, 100, 0}{296, 91.5, 0})
27.5,35,({235, 117.5, 0}{235, 145, 0})
27.72,37,({235, 117.5, 0}{262.5, 114, 0})
28,34,({235, 117.5, 0}{235, 145.5, 0})
29.6,28,({235, 117.5, 0}{243, 146, 0})
32.72,53,({235, 117.5, 0}{260.5, 97, 0})
17.12,37,({260.5, 97, 0}{262.5, 114, 0})
18.93,50,({260.5, 97, 0}{279, 93, 0})
19.32,41,({260.5, 97, 0}{279.5, 100.5, 0})
19.91,40,({260.5, 97, 0}{280, 101, 0})
22.64,31,({260.5, 97, 0}{276, 113.5, 0})
14.58,46,({210, 202, 0}{223.5, 207.5, 0})
32.2,39,({210, 202, 0}{236, 221, 0})
37.17,47,({210, 202, 0}{235, 229.5, 0})
41.6,24,({210, 202, 0}{247.5, 184, 0})
46.6,20,({210, 202, 0}{256.5, 199, 0})
0,1,({306, 192.5, 0}{306, 192.5, 0})
13.46,2,({306, 192.5, 0}{318.5, 187.5, 0})
23.24,5,({306, 192.5, 0}{284, 185, 0})
23.56,6,({306, 192.5, 0}{283.5, 185.5, 0})
26.5,7,({306, 192.5, 0}{332.5, 192.5, 0})
0,0,({306, 192.5, 0}{306, 192.5, 0})
13.46,2,({306, 192.5, 0}{318.5, 187.5, 0})
23.24,5,({306, 192.5, 0}{284, 185, 0})
23.56,6,({306, 192.5, 0}{283.5, 185.5, 0})
26.5,7,({306, 192.5, 0}{332.5, 192.5, 0})
13.46,1,({318.5, 187.5, 0}{306, 192.5, 0})
13.46,0,({318.5, 187.5, 0}{306, 192.5, 0})
14.87,7,({318.5, 187.5, 0}{332.5, 192.5, 0})
22.74,16,({318.5, 187.5, 0}{337.5, 200, 0})
29.4,23,({318.5, 187.5, 0}{340.5, 207, 0})
3.35,4,({298, 163.5, 0}{296.5, 160.5, 0})
15,12,({298, 163.5, 0}{289, 151.5, 0})
20.01,13,({298, 163.5, 0}{297.5, 143.5, 0})
22.19,8,({298, 163.5, 0}{277.5, 172, 0})
23.6,9,({298, 163.5, 0}{317, 149.5, 0})
3.35,3,({296.5, 160.5, 0}{298, 163.5, 0})
11.72,12,({296.5, 160.5, 0}{289, 151.5, 0})
17.03,13,({296.5, 160.5, 0}{297.5, 143.5, 0})
22.21,8,({296.5, 160.5, 0}{277.5, 172, 0})
23.26,9,({296.5, 160.5, 0}{317, 149.5, 0})
0.71,6,({284, 185, 0}{283.5, 185.5, 0})
10.31,11,({284, 185, 0}{276, 178.5, 0})
14.53,8,({284, 185, 0}{277.5, 172, 0})
14.98,14,({284, 185, 0}{270.5, 178.5, 0})
16.51,17,({284, 185, 0}{267.5, 185.5, 0})
0.71,5,({283.5, 185.5, 0}{284, 185, 0})
10.26,11,({283.5, 185.5, 0}{276, 178.5, 0})
14.76,14,({283.5, 185.5, 0}{270.5, 178.5, 0})
14.77,8,({283.5, 185.5, 0}{277.5, 172, 0})
16,17,({283.5, 185.5, 0}{267.5, 185.5, 0})
9.01,16,({332.5, 192.5, 0}{337.5, 200, 0})
14.87,2,({332.5, 192.5, 0}{318.5, 187.5, 0})
16.56,23,({332.5, 192.5, 0}{340.5, 207, 0})
26.5,1,({332.5, 192.5, 0}{306, 192.5, 0})
26.5,0,({332.5, 192.5, 0}{306, 192.5, 0})
6.67,11,({277.5, 172, 0}{276, 178.5, 0})
7.28,15,({277.5, 172, 0}{270.5, 174, 0})
9.55,14,({277.5, 172, 0}{270.5, 178.5, 0})
12.3,18,({277.5, 172, 0}{266.5, 177.5, 0})
14.53,5,({277.5, 172, 0}{284, 185, 0})
0.5,10,({317, 149.5, 0}{317.5, 149.5, 0})
17.03,24,({317, 149.5, 0}{316, 132.5, 0})
19.91,25,({317, 149.5, 0}{308.5, 131.5, 0})
20.4,13,({317, 149.5, 0}{297.5, 143.5, 0})
23.26,4,({317, 149.5, 0}{296.5, 160.5, 0})
0.5,9,({317.5, 149.5, 0}{317, 149.5, 0})
17.07,24,({317.5, 149.5, 0}{316, 132.5, 0})
20.12,25,({317.5, 149.5, 0}{308.5, 131.5, 0})
20.88,13,({317.5, 149.5, 0}{297.5, 143.5, 0})
23.71,4,({317.5, 149.5, 0}{296.5, 160.5, 0})
5.5,14,({276, 178.5, 0}{270.5, 178.5, 0})
6.67,8,({276, 178.5, 0}{277.5, 172, 0})
7.11,15,({276, 178.5, 0}{270.5, 174, 0})
9.55,18,({276, 178.5, 0}{266.5, 177.5, 0})
10.26,6,({276, 178.5, 0}{283.5, 185.5, 0})
11.67,13,({289, 151.5, 0}{297.5, 143.5, 0})
11.72,4,({289, 151.5, 0}{296.5, 160.5, 0})
15,3,({289, 151.5, 0}{298, 163.5, 0})
18.36,22,({289, 151.5, 0}{298, 135.5, 0})
18.36,21,({289, 151.5, 0}{298, 135.5, 0})
8.02,22,({297.5, 143.5, 0}{298, 135.5, 0})
8.02,21,({297.5, 143.5, 0}{298, 135.5, 0})
11.67,12,({297.5, 143.5, 0}{289, 151.5, 0})
15.69,29,({297.5, 143.5, 0}{291.5, 129, 0})
16.28,25,({297.5, 143.5, 0}{308.5, 131.5, 0})
4.12,18,({270.5, 178.5, 0}{266.5, 177.5, 0})
4.5,15,({270.5, 178.5, 0}{270.5, 174, 0})
5.5,11,({270.5, 178.5, 0}{276, 178.5, 0})
7.62,17,({270.5, 178.5, 0}{267.5, 185.5, 0})
9.55,8,({270.5, 178.5, 0}{277.5, 172, 0})
4.5,14,({270.5, 174, 0}{270.5, 178.5, 0})
5.32,18,({270.5, 174, 0}{266.5, 177.5, 0})
7.11,11,({270.5, 174, 0}{276, 178.5, 0})
7.28,8,({270.5, 174, 0}{277.5, 172, 0})
11.88,26,({270.5, 174, 0}{259.5, 178.5, 0})
7.62,23,({337.5, 200, 0}{340.5, 207, 0})
9.01,7,({337.5, 200, 0}{332.5, 192.5, 0})
22.74,2,({337.5, 200, 0}{318.5, 187.5, 0})
32.38,1,({337.5, 200, 0}{306, 192.5, 0})
32.38,0,({337.5, 200, 0}{306, 192.5, 0})
7.62,14,({267.5, 185.5, 0}{270.5, 178.5, 0})
8.06,18,({267.5, 185.5, 0}{266.5, 177.5, 0})
10.63,26,({267.5, 185.5, 0}{259.5, 178.5, 0})
11.01,11,({267.5, 185.5, 0}{276, 178.5, 0})
11.88,15,({267.5, 185.5, 0}{270.5, 174, 0})
4.12,14,({266.5, 177.5, 0}{270.5, 178.5, 0})
5.32,15,({266.5, 177.5, 0}{270.5, 174, 0})
7.07,26,({266.5, 177.5, 0}{259.5, 178.5, 0})
8.06,17,({266.5, 177.5, 0}{267.5, 185.5, 0})
9.55,11,({266.5, 177.5, 0}{276, 178.5, 0})
8.73,20,({273, 201.5, 0}{276.5, 209.5, 0})
16.92,17,({273, 201.5, 0}{267.5, 185.5, 0})
19.14,6,({273, 201.5, 0}{283.5, 185.5, 0})
19.83,5,({273, 201.5, 0}{284, 185, 0})
21.78,33,({273, 201.5, 0}{251.5, 198, 0})
8.73,19,({276.5, 209.5, 0}{273, 201.5, 0})
20.01,36,({276.5, 209.5, 0}{272, 229, 0})
21.84,37,({276.5, 209.5, 0}{270.5, 230.5, 0})
25,6,({276.5, 209.5, 0}{283.5, 185.5, 0})
25.62,5,({276.5, 209.5, 0}{284, 185, 0})
0,22,({298, 135.5, 0}{298, 135.5, 0})
8.02,13,({298, 135.5, 0}{297.5, 143.5, 0})
9.19,29,({298, 135.5, 0}{291.5, 129, 0})
10.97,31,({298, 135.5, 0}{293.5, 125.5, 0})
11.24,25,({298, 135.5, 0}{308.5, 131.5, 0})
0,21,({298, 135.5, 0}{298, 135.5, 0})
8.02,13,({298, 135.5, 0}{297.5, 143.5, 0})
9.19,29,({298, 135.5, 0}{291.5, 129, 0})
10.97,31,({298, 135.5, 0}{293.5, 125.5, 0})
11.24,25,({298, 135.5, 0}{308.5, 131.5, 0})
7.62,16,({340.5, 207, 0}{337.5, 200, 0})
16.56,7,({340.5, 207, 0}{332.5, 192.5, 0})
29.4,2,({340.5, 207, 0}{318.5, 187.5, 0})
37.42,1,({340.5, 207, 0}{306, 192.5, 0})
37.42,0,({340.5, 207, 0}{306, 192.5, 0})
7.57,25,({316, 132.5, 0}{308.5, 131.5, 0})
10.12,28,({316, 132.5, 0}{307.5, 127, 0})
10.82,30,({316, 132.5, 0}{307, 126.5, 0})
13.09,32,({316, 132.5, 0}{307, 123, 0})
17.03,9,({316, 132.5, 0}{317, 149.5, 0})
4.61,28,({308.5, 131.5, 0}{307.5, 127, 0})
5.22,30,({308.5, 131.5, 0}{307, 126.5, 0})
7.57,24,({308.5, 131.5, 0}{316, 132.5, 0})
8.63,32,({308.5, 131.5, 0}{307, 123, 0})
11.24,22,({308.5, 131.5, 0}{298, 135.5, 0})
