Major_dist,Major_link,Major_points
18.44,11,({270, 153, 0}{266, 171, 0})
4.24,24,({258, 181, 0}{255, 184, 0})
5.7,29,({258, 181, 0}{252.5, 182.5, 0})
10.97,36,({258, 181, 0}{248, 176.5, 0})
12.01,8,({258, 181, 0}{270, 181.5, 0})
12.54,23,({258, 181, 0}{259, 168.5, 0})
7.43,11,({259, 168.5, 0}{266, 171, 0})
7.91,10,({259, 168.5, 0}{266.5, 171, 0})
7.91,32,({259, 168.5, 0}{254.5, 162, 0})
8.08,28,({259, 168.5, 0}{256, 161, 0})
12.35,38,({259, 168.5, 0}{248.5, 162, 0})
2.92,29,({255, 184, 0}{252.5, 182.5, 0})
4.24,22,({255, 184, 0}{258, 181, 0})
10.26,36,({255, 184, 0}{248, 176.5, 0})
15.21,8,({255, 184, 0}{270, 181.5, 0})
16.01,23,({255, 184, 0}{259, 168.5, 0})
7.07,26,({337, 215.5, 0}{332, 220.5, 0})
8.5,20,({337, 215.5, 0}{333, 208, 0})
9.92,14,({337, 215.5, 0}{330.5, 208, 0})
11.54,17,({337, 215.5, 0}{336, 204, 0})
17.07,12,({337, 215.5, 0}{320, 214, 0})
7.07,25,({332, 220.5, 0}{337, 215.5, 0})
12.54,20,({332, 220.5, 0}{333, 208, 0})
12.59,14,({332, 220.5, 0}{330.5, 208, 0})
13.65,12,({332, 220.5, 0}{320, 214, 0})
15.13,19,({332, 220.5, 0}{317, 218.5, 0})
18.44,40,({319, 132, 0}{305, 120, 0})
18.58,37,({319, 132, 0}{302, 124.5, 0})
18.58,15,({319, 132, 0}{302, 139.5, 0})
20.62,41,({319, 132, 0}{303, 119, 0})
24.13,30,({319, 132, 0}{295, 129.5, 0})
1.8,32,({256, 161, 0}{254.5, 162, 0})
6.32,31,({256, 161, 0}{258, 155, 0})
7.57,38,({256, 161, 0}{248.5, 162, 0})
8.08,23,({256, 161, 0}{259, 168.5, 0})
8.73,39,({256, 161, 0}{247.5, 163, 0})
2.92,24,({252.5, 182.5, 0}{255, 184, 0})
5.7,22,({252.5, 182.5, 0}{258, 181, 0})
7.5,36,({252.5, 182.5, 0}{248, 176.5, 0})
15.21,43,({252.5, 182.5, 0}{241.5, 193, 0})
15.44,23,({252.5, 182.5, 0}{259, 168.5, 0})
8.6,37,({295, 129.5, 0}{302, 124.5, 0})
11.05,42,({295, 129.5, 0}{294, 118.5, 0})
12.21,15,({295, 129.5, 0}{302, 139.5, 0})
13.2,41,({295, 129.5, 0}{303, 119, 0})
13.79,40,({295, 129.5, 0}{305, 120, 0})
6.32,28,({258, 155, 0}{256, 161, 0})
7.83,32,({258, 155, 0}{254.5, 162, 0})
11.8,38,({258, 155, 0}{248.5, 162, 0})
12.17,21,({258, 155, 0}{270, 153, 0})
13.2,39,({258, 155, 0}{247.5, 163, 0})
1.8,28,({254.5, 162, 0}{256, 161, 0})
6,38,({254.5, 162, 0}{248.5, 162, 0})
7.07,39,({254.5, 162, 0}{247.5, 163, 0})
7.83,31,({254.5, 162, 0}{258, 155, 0})
7.91,23,({254.5, 162, 0}{259, 168.5, 0})
1.58,35,({310.5, 233, 0}{309, 233.5, 0})
15.89,19,({310.5, 233, 0}{317, 218.5, 0})
21.1,48,({310.5, 233, 0}{323, 250, 0})
21.24,12,({310.5, 233, 0}{320, 214, 0})
24.87,26,({310.5, 233, 0}{332, 220.5, 0})
25.18,47,({342.5, 143, 0}{367.5, 146, 0})
25.95,27,({342.5, 143, 0}{319, 132, 0})
36.62,56,({342.5, 143, 0}{333.5, 107.5, 0})
37.11,60,({342.5, 143, 0}{333.5, 107, 0})
38.55,45,({342.5, 143, 0}{370.5, 169.5, 0})
1.58,33,({309, 233.5, 0}{310.5, 233, 0})
17,19,({309, 233.5, 0}{317, 218.5, 0})
21.64,48,({309, 233.5, 0}{323, 250, 0})
22.39,12,({309, 233.5, 0}{320, 214, 0})
26.42,26,({309, 233.5, 0}{332, 220.5, 0})
7.5,29,({248, 176.5, 0}{252.5, 182.5, 0})
10.26,24,({248, 176.5, 0}{255, 184, 0})
10.97,22,({248, 176.5, 0}{258, 181, 0})
13.51,39,({248, 176.5, 0}{247.5, 163, 0})
13.6,23,({248, 176.5, 0}{259, 168.5, 0})
5.41,40,({302, 124.5, 0}{305, 120, 0})
5.59,41,({302, 124.5, 0}{303, 119, 0})
8.6,30,({302, 124.5, 0}{295, 129.5, 0})
10,42,({302, 124.5, 0}{294, 118.5, 0})
15,15,({302, 124.5, 0}{302, 139.5, 0})
1.41,39,({248.5, 162, 0}{247.5, 163, 0})
6,32,({248.5, 162, 0}{254.5, 162, 0})
7.57,28,({248.5, 162, 0}{256, 161, 0})
11.8,31,({248.5, 162, 0}{258, 155, 0})
12.35,23,({248.5, 162, 0}{259, 168.5, 0})
1.41,38,({247.5, 163, 0}{248.5, 162, 0})
7.07,32,({247.5, 163, 0}{254.5, 162, 0})
8.73,28,({247.5, 163, 0}{256, 161, 0})
12.75,23,({247.5, 163, 0}{259, 168.5, 0})
13.2,31,({247.5, 163, 0}{258, 155, 0})
2.24,41,({305, 120, 0}{303, 119, 0})
5.41,37,({305, 120, 0}{302, 124.5, 0})
10.51,46,({305, 120, 0}{304.5, 109.5, 0})
11.1,42,({305, 120, 0}{294, 118.5, 0})
13.79,30,({305, 120, 0}{295, 129.5, 0})
2.24,40,({303, 119, 0}{305, 120, 0})
5.59,37,({303, 119, 0}{302, 124.5, 0})
9.01,42,({303, 119, 0}{294, 118.5, 0})
9.62,46,({303, 119, 0}{304.5, 109.5, 0})
13.2,30,({303, 119, 0}{295, 129.5, 0})
9.01,41,({294, 118.5, 0}{303, 119, 0})
10,37,({294, 118.5, 0}{302, 124.5, 0})
11.05,30,({294, 118.5, 0}{295, 129.5, 0})
11.1,40,({294, 118.5, 0}{305, 120, 0})
13.83,46,({294, 118.5, 0}{304.5, 109.5, 0})
15.21,29,({241.5, 193, 0}{252.5, 182.5, 0})
16.22,24,({241.5, 193, 0}{255, 184, 0})
17.73,36,({241.5, 193, 0}{248, 176.5, 0})
20.4,22,({241.5, 193, 0}{258, 181, 0})
22.21,61,({241.5, 193, 0}{222.5, 181.5, 0})
17.92,25,({352.5, 224.5, 0}{337, 215.5, 0})
20.89,26,({352.5, 224.5, 0}{332, 220.5, 0})
25.54,20,({352.5, 224.5, 0}{333, 208, 0})
26.32,17,({352.5, 224.5, 0}{336, 204, 0})
27.5,14,({352.5, 224.5, 0}{330.5, 208, 0})
10.26,55,({370.5, 169.5, 0}{377.5, 162, 0})
23.69,47,({370.5, 169.5, 0}{367.5, 146, 0})
38.55,34,({370.5, 169.5, 0}{342.5, 143, 0})
47.8,9,({370.5, 169.5, 0}{332.5, 198.5, 0})
48.79,17,({370.5, 169.5, 0}{336, 204, 0})
6.8,53,({304.5, 109.5, 0}{300.5, 104, 0})
8.86,49,({304.5, 109.5, 0}{313, 107, 0})
9.62,41,({304.5, 109.5, 0}{303, 119, 0})
10.51,40,({304.5, 109.5, 0}{305, 120, 0})
13.83,42,({304.5, 109.5, 0}{294, 118.5, 0})
18.87,55,({367.5, 146, 0}{377.5, 162, 0})
23.69,45,({367.5, 146, 0}{370.5, 169.5, 0})
25.18,34,({367.5, 146, 0}{342.5, 143, 0})
50.48,27,({367.5, 146, 0}{319, 132, 0})
51.36,56,({367.5, 146, 0}{333.5, 107.5, 0})
21.1,33,({323, 250, 0}{310.5, 233, 0})
21.64,35,({323, 250, 0}{309, 233.5, 0})
30.84,26,({323, 250, 0}{332, 220.5, 0})
32.07,19,({323, 250, 0}{317, 218.5, 0})
36.12,12,({323, 250, 0}{320, 214, 0})
8.86,46,({313, 107, 0}{304.5, 109.5, 0})
12.85,53,({313, 107, 0}{300.5, 104, 0})
15.26,40,({313, 107, 0}{305, 120, 0})
15.62,41,({313, 107, 0}{303, 119, 0})
20.5,60,({313, 107, 0}{333.5, 107, 0})
1.5,52,({259, 120, 0}{259, 118.5, 0})
8.6,51,({259, 120, 0}{252, 125, 0})
9.86,58,({259, 120, 0}{264, 111.5, 0})
18.6,54,({259, 120, 0}{244, 131, 0})
28.02,59,({259, 120, 0}{282, 104, 0})
8.6,50,({252, 125, 0}{259, 120, 0})
9.55,52,({252, 125, 0}{259, 118.5, 0})
10,54,({252, 125, 0}{244, 131, 0})
18.06,58,({252, 125, 0}{264, 111.5, 0})
30.59,31,({252, 125, 0}{258, 155, 0})
1.5,50,({259, 118.5, 0}{259, 120, 0})
8.6,58,({259, 118.5, 0}{264, 111.5, 0})
9.55,51,({259, 118.5, 0}{252, 125, 0})
19.53,54,({259, 118.5, 0}{244, 131, 0})
27.19,59,({259, 118.5, 0}{282, 104, 0})
6.8,46,({300.5, 104, 0}{304.5, 109.5, 0})
12.85,49,({300.5, 104, 0}{313, 107, 0})
15.21,41,({300.5, 104, 0}{303, 119, 0})
15.89,42,({300.5, 104, 0}{294, 118.5, 0})
16.51,57,({300.5, 104, 0}{284, 103.5, 0})
10,51,({244, 131, 0}{252, 125, 0})
18.6,50,({244, 131, 0}{259, 120, 0})
19.53,52,({244, 131, 0}{259, 118.5, 0})
27.78,31,({244, 131, 0}{258, 155, 0})
27.93,58,({244, 131, 0}{264, 111.5, 0})
