Minor_dist,Minor_link,Minor_points
30.5,4,({317, 184.5, 0}{322.5, 214.5, 0})
30.81,7,({317, 184.5, 0}{340, 205, 0})
25.74,8,({274.5, 179, 0}{251, 168.5, 0})
30.93,5,({274.5, 179, 0}{257, 204.5, 0})
32.89,9,({274.5, 179, 0}{243.5, 190, 0})
34.3,0,({274.5, 179, 0}{308.5, 183.5, 0})
42.85,1,({274.5, 179, 0}{317, 184.5, 0})
0.5,4,({322.5, 214, 0}{322.5, 214.5, 0})
19.68,7,({322.5, 214, 0}{340, 205, 0})
20.55,6,({322.5, 214, 0}{336, 198.5, 0})
30.01,1,({322.5, 214, 0}{317, 184.5, 0})
33.56,0,({322.5, 214, 0}{308.5, 183.5, 0})
0.5,3,({322.5, 214.5, 0}{322.5, 214, 0})
19.91,7,({322.5, 214.5, 0}{340, 205, 0})
20.93,6,({322.5, 214.5, 0}{336, 198.5, 0})
30.5,1,({322.5, 214.5, 0}{317, 184.5, 0})
34.01,0,({322.5, 214.5, 0}{308.5, 183.5, 0})
19.81,9,({257, 204.5, 0}{243.5, 190, 0})
27.61,10,({257, 204.5, 0}{241, 227, 0})
30.93,2,({257, 204.5, 0}{274.5, 179, 0})
36.5,8,({257, 204.5, 0}{251, 168.5, 0})
38.83,12,({257, 204.5, 0}{225, 182.5, 0})
7.63,7,({336, 198.5, 0}{340, 205, 0})
20.55,3,({336, 198.5, 0}{322.5, 214, 0})
20.93,4,({336, 198.5, 0}{322.5, 214.5, 0})
23.6,1,({336, 198.5, 0}{317, 184.5, 0})
31.32,0,({336, 198.5, 0}{308.5, 183.5, 0})
7.63,6,({340, 205, 0}{336, 198.5, 0})
19.68,3,({340, 205, 0}{322.5, 214, 0})
19.91,4,({340, 205, 0}{322.5, 214.5, 0})
30.81,1,({340, 205, 0}{317, 184.5, 0})
38.14,0,({340, 205, 0}{308.5, 183.5, 0})
22.77,9,({251, 168.5, 0}{243.5, 190, 0})
25.74,2,({251, 168.5, 0}{274.5, 179, 0})
29.53,12,({251, 168.5, 0}{225, 182.5, 0})
35.6,15,({251, 168.5, 0}{220, 151, 0})
35.67,16,({251, 168.5, 0}{220.5, 150, 0})
19.81,5,({243.5, 190, 0}{257, 204.5, 0})
19.96,12,({243.5, 190, 0}{225, 182.5, 0})
22.77,8,({243.5, 190, 0}{251, 168.5, 0})
32.89,2,({243.5, 190, 0}{274.5, 179, 0})
35.67,14,({243.5, 190, 0}{213, 208.5, 0})
27.61,5,({241, 227, 0}{257, 204.5, 0})
33.56,14,({241, 227, 0}{213, 208.5, 0})
37.08,9,({241, 227, 0}{243.5, 190, 0})
47.29,12,({241, 227, 0}{225, 182.5, 0})
58.53,2,({241, 227, 0}{274.5, 179, 0})
34.21,4,({331.5, 247.5, 0}{322.5, 214.5, 0})
34.69,3,({331.5, 247.5, 0}{322.5, 214, 0})
43.34,7,({331.5, 247.5, 0}{340, 205, 0})
49.21,6,({331.5, 247.5, 0}{336, 198.5, 0})
55.75,18,({331.5, 247.5, 0}{304, 296, 0})
19.96,9,({225, 182.5, 0}{243.5, 190, 0})
28.64,14,({225, 182.5, 0}{213, 208.5, 0})
29.53,8,({225, 182.5, 0}{251, 168.5, 0})
31.89,15,({225, 182.5, 0}{220, 151, 0})
32.81,16,({225, 182.5, 0}{220.5, 150, 0})
39.03,17,({303, 118, 0}{342, 119.5, 0})
65.73,0,({303, 118, 0}{308.5, 183.5, 0})
67.33,2,({303, 118, 0}{274.5, 179, 0})
67.96,1,({303, 118, 0}{317, 184.5, 0})
72.49,8,({303, 118, 0}{251, 168.5, 0})
28.64,12,({213, 208.5, 0}{225, 182.5, 0})
33.56,10,({213, 208.5, 0}{241, 227, 0})
35.67,9,({213, 208.5, 0}{243.5, 190, 0})
44.18,5,({213, 208.5, 0}{257, 204.5, 0})
55.17,8,({213, 208.5, 0}{251, 168.5, 0})
1.12,16,({220, 151, 0}{220.5, 150, 0})
23.26,19,({220, 151, 0}{209, 130.5, 0})
31.89,12,({220, 151, 0}{225, 182.5, 0})
35.6,8,({220, 151, 0}{251, 168.5, 0})
45.53,9,({220, 151, 0}{243.5, 190, 0})
1.12,15,({220.5, 150, 0}{220, 151, 0})
22.64,19,({220.5, 150, 0}{209, 130.5, 0})
32.81,12,({220.5, 150, 0}{225, 182.5, 0})
35.67,8,({220.5, 150, 0}{251, 168.5, 0})
46.14,9,({220.5, 150, 0}{243.5, 190, 0})
39.03,13,({342, 119.5, 0}{303, 118, 0})
69.64,1,({342, 119.5, 0}{317, 184.5, 0})
72.24,0,({342, 119.5, 0}{308.5, 183.5, 0})
79.23,6,({342, 119.5, 0}{336, 198.5, 0})
85.52,7,({342, 119.5, 0}{340, 205, 0})
55.75,11,({304, 296, 0}{331.5, 247.5, 0})
83.57,4,({304, 296, 0}{322.5, 214.5, 0})
84.06,3,({304, 296, 0}{322.5, 214, 0})
93.43,10,({304, 296, 0}{241, 227, 0})
97.86,7,({304, 296, 0}{340, 205, 0})
22.64,16,({209, 130.5, 0}{220.5, 150, 0})
23.26,15,({209, 130.5, 0}{220, 151, 0})
54.41,12,({209, 130.5, 0}{225, 182.5, 0})
56.64,8,({209, 130.5, 0}{251, 168.5, 0})
68.78,9,({209, 130.5, 0}{243.5, 190, 0})
10.26,1,({288.5, 188.5, 0}{281.5, 181, 0})
25.04,2,({288.5, 188.5, 0}{263.5, 187, 0})
42.5,3,({288.5, 188.5, 0}{314, 222.5, 0})
44.53,4,({288.5, 188.5, 0}{327.5, 210, 0})
45.26,6,({288.5, 188.5, 0}{245, 176, 0})
10.26,0,({281.5, 181, 0}{288.5, 188.5, 0})
18.97,2,({281.5, 181, 0}{263.5, 187, 0})
36.84,6,({281.5, 181, 0}{245, 176, 0})
52.71,3,({281.5, 181, 0}{314, 222.5, 0})
54.38,4,({281.5, 181, 0}{327.5, 210, 0})
18.97,1,({263.5, 187, 0}{281.5, 181, 0})
21.52,6,({263.5, 187, 0}{245, 176, 0})
25.04,0,({263.5, 187, 0}{288.5, 188.5, 0})
44.78,10,({263.5, 187, 0}{251, 230, 0})
51.3,8,({263.5, 187, 0}{272.5, 237.5, 0})
18.4,4,({314, 222.5, 0}{327.5, 210, 0})
19.14,5,({314, 222.5, 0}{328.5, 210, 0})
23.65,11,({314, 222.5, 0}{337, 228, 0})
24.04,12,({314, 222.5, 0}{337, 229.5, 0})
31.76,7,({314, 222.5, 0}{340.5, 205, 0})
1,5,({327.5, 210, 0}{328.5, 210, 0})
13.93,7,({327.5, 210, 0}{340.5, 205, 0})
18.4,3,({327.5, 210, 0}{314, 222.5, 0})
20.35,11,({327.5, 210, 0}{337, 228, 0})
21.69,12,({327.5, 210, 0}{337, 229.5, 0})
1,4,({328.5, 210, 0}{327.5, 210, 0})
13,7,({328.5, 210, 0}{340.5, 205, 0})
19.14,3,({328.5, 210, 0}{314, 222.5, 0})
19.91,11,({328.5, 210, 0}{337, 228, 0})
21.27,12,({328.5, 210, 0}{337, 229.5, 0})
21.52,2,({245, 176, 0}{263.5, 187, 0})
36.84,1,({245, 176, 0}{281.5, 181, 0})
41.16,17,({245, 176, 0}{213.5, 149.5, 0})
45.26,0,({245, 176, 0}{288.5, 188.5, 0})
45.97,16,({245, 176, 0}{213, 209, 0})
13,5,({340.5, 205, 0}{328.5, 210, 0})
13.93,4,({340.5, 205, 0}{327.5, 210, 0})
22.02,13,({340.5, 205, 0}{354.5, 222, 0})
23.26,11,({340.5, 205, 0}{337, 228, 0})
24.75,12,({340.5, 205, 0}{337, 229.5, 0})
2.92,9,({272.5, 237.5, 0}{275, 239, 0})
22.77,10,({272.5, 237.5, 0}{251, 230, 0})
44.13,3,({272.5, 237.5, 0}{314, 222.5, 0})
49.3,18,({272.5, 237.5, 0}{304.5, 275, 0})
49.62,19,({272.5, 237.5, 0}{305, 275, 0})
2.92,8,({275, 239, 0}{272.5, 237.5, 0})
25.63,10,({275, 239, 0}{251, 230, 0})
42.35,3,({275, 239, 0}{314, 222.5, 0})
46.54,18,({275, 239, 0}{304.5, 275, 0})
46.86,19,({275, 239, 0}{305, 275, 0})
22.77,8,({251, 230, 0}{272.5, 237.5, 0})
25.63,9,({251, 230, 0}{275, 239, 0})
39.54,20,({251, 230, 0}{212, 236.5, 0})
43.42,16,({251, 230, 0}{213, 209, 0})
44.78,2,({251, 230, 0}{263.5, 187, 0})
1.5,12,({337, 228, 0}{337, 229.5, 0})
18.5,13,({337, 228, 0}{354.5, 222, 0})
19.91,5,({337, 228, 0}{328.5, 210, 0})
20.35,4,({337, 228, 0}{327.5, 210, 0})
20.65,15,({337, 228, 0}{334.5, 248.5, 0})
1.5,11,({337, 229.5, 0}{337, 228, 0})
19.04,13,({337, 229.5, 0}{354.5, 222, 0})
19.16,15,({337, 229.5, 0}{334.5, 248.5, 0})
21.27,5,({337, 229.5, 0}{328.5, 210, 0})
21.69,4,({337, 229.5, 0}{327.5, 210, 0})
18.5,11,({354.5, 222, 0}{337, 228, 0})
19.04,12,({354.5, 222, 0}{337, 229.5, 0})
22.02,7,({354.5, 222, 0}{340.5, 205, 0})
28.64,5,({354.5, 222, 0}{328.5, 210, 0})
29.55,4,({354.5, 222, 0}{327.5, 210, 0})
68.53,7,({342.5, 136.5, 0}{340.5, 205, 0})
74.82,5,({342.5, 136.5, 0}{328.5, 210, 0})
74.97,0,({342.5, 136.5, 0}{288.5, 188.5, 0})
75.01,4,({342.5, 136.5, 0}{327.5, 210, 0})
75.51,1,({342.5, 136.5, 0}{281.5, 181, 0})
19.16,12,({334.5, 248.5, 0}{337, 229.5, 0})
20.65,11,({334.5, 248.5, 0}{337, 228, 0})
33.11,3,({334.5, 248.5, 0}{314, 222.5, 0})
33.2,13,({334.5, 248.5, 0}{354.5, 222, 0})
38.96,5,({334.5, 248.5, 0}{328.5, 210, 0})
27.52,20,({213, 209, 0}{212, 236.5, 0})
43.42,10,({213, 209, 0}{251, 230, 0})
45.97,6,({213, 209, 0}{245, 176, 0})
55.08,2,({213, 209, 0}{263.5, 187, 0})
59.5,17,({213, 209, 0}{213.5, 149.5, 0})
41.16,6,({213.5, 149.5, 0}{245, 176, 0})
59.5,16,({213.5, 149.5, 0}{213, 209, 0})
62.5,2,({213.5, 149.5, 0}{263.5, 187, 0})
74.94,1,({213.5, 149.5, 0}{281.5, 181, 0})
84.53,0,({213.5, 149.5, 0}{288.5, 188.5, 0})
0.5,19,({304.5, 275, 0}{305, 275, 0})
40.03,15,({304.5, 275, 0}{334.5, 248.5, 0})
46.54,9,({304.5, 275, 0}{275, 239, 0})
49.3,8,({304.5, 275, 0}{272.5, 237.5, 0})
53.35,3,({304.5, 275, 0}{314, 222.5, 0})
0.5,18,({305, 275, 0}{304.5, 275, 0})
39.65,15,({305, 275, 0}{334.5, 248.5, 0})
46.86,9,({305, 275, 0}{275, 239, 0})
49.62,8,({305, 275, 0}{272.5, 237.5, 0})
53.27,3,({305, 275, 0}{314, 222.5, 0})
27.52,16,({212, 236.5, 0}{213, 209, 0})
39.54,10,({212, 236.5, 0}{251, 230, 0})
60.51,8,({212, 236.5, 0}{272.5, 237.5, 0})
63.05,9,({212, 236.5, 0}{275, 239, 0})
68.91,6,({212, 236.5, 0}{245, 176, 0})
21.97,5,({340.5, 203.5, 0}{355, 220, 0})
22.2,6,({340.5, 203.5, 0}{353.5, 221.5, 0})
25.74,3,({340.5, 203.5, 0}{337, 229, 0})
33.98,1,({340.5, 203.5, 0}{312, 222, 0})
52.5,10,({340.5, 203.5, 0}{390, 186, 0})
25.96,3,({312, 222, 0}{337, 229, 0})
33.98,0,({312, 222, 0}{340.5, 203.5, 0})
41.5,6,({312, 222, 0}{353.5, 221.5, 0})
42.35,13,({312, 222, 0}{273, 238.5, 0})
42.82,2,({312, 222, 0}{283, 190.5, 0})
5.59,4,({283, 190.5, 0}{280.5, 185.5, 0})
10.51,7,({283, 190.5, 0}{278.5, 181, 0})
24.01,8,({283, 190.5, 0}{259, 191, 0})
37.87,14,({283, 190.5, 0}{255, 216, 0})
42.82,1,({283, 190.5, 0}{312, 222, 0})
18.12,6,({337, 229, 0}{353.5, 221.5, 0})
20.12,5,({337, 229, 0}{355, 220, 0})
25.74,0,({337, 229, 0}{340.5, 203.5, 0})
25.96,1,({337, 229, 0}{312, 222, 0})
41.23,16,({337, 229, 0}{369, 255, 0})
4.92,7,({280.5, 185.5, 0}{278.5, 181, 0})
5.59,2,({280.5, 185.5, 0}{283, 190.5, 0})
22.19,8,({280.5, 185.5, 0}{259, 191, 0})
39.76,14,({280.5, 185.5, 0}{255, 216, 0})
48.21,1,({280.5, 185.5, 0}{312, 222, 0})
2.12,6,({355, 220, 0}{353.5, 221.5, 0})
20.12,3,({355, 220, 0}{337, 229, 0})
21.97,0,({355, 220, 0}{340.5, 203.5, 0})
37.7,16,({355, 220, 0}{369, 255, 0})
43.05,1,({355, 220, 0}{312, 222, 0})
2.12,5,({353.5, 221.5, 0}{355, 220, 0})
18.12,3,({353.5, 221.5, 0}{337, 229, 0})
22.2,0,({353.5, 221.5, 0}{340.5, 203.5, 0})
36.91,16,({353.5, 221.5, 0}{369, 255, 0})
41.5,1,({353.5, 221.5, 0}{312, 222, 0})
4.92,4,({278.5, 181, 0}{280.5, 185.5, 0})
10.51,2,({278.5, 181, 0}{283, 190.5, 0})
21.91,8,({278.5, 181, 0}{259, 191, 0})
42.16,14,({278.5, 181, 0}{255, 216, 0})
52.95,1,({278.5, 181, 0}{312, 222, 0})
21.91,7,({259, 191, 0}{278.5, 181, 0})
22.19,4,({259, 191, 0}{280.5, 185.5, 0})
24.01,2,({259, 191, 0}{283, 190.5, 0})
25.32,14,({259, 191, 0}{255, 216, 0})
49.52,13,({259, 191, 0}{273, 238.5, 0})
45.71,12,({295.5, 129, 0}{340.5, 121, 0})
45.71,11,({295.5, 129, 0}{340.5, 121, 0})
54.71,7,({295.5, 129, 0}{278.5, 181, 0})
54.94,15,({295.5, 129, 0}{349, 116.5, 0})
58.46,4,({295.5, 129, 0}{280.5, 185.5, 0})
29.58,19,({390, 186, 0}{415.5, 171, 0})
30.02,20,({390, 186, 0}{416, 171, 0})
48.8,5,({390, 186, 0}{355, 220, 0})
50.92,6,({390, 186, 0}{353.5, 221.5, 0})
52.5,0,({390, 186, 0}{340.5, 203.5, 0})
0,12,({340.5, 121, 0}{340.5, 121, 0})
9.62,15,({340.5, 121, 0}{349, 116.5, 0})
45.71,9,({340.5, 121, 0}{295.5, 129, 0})
81.7,10,({340.5, 121, 0}{390, 186, 0})
82.5,0,({340.5, 121, 0}{340.5, 203.5, 0})
0,11,({340.5, 121, 0}{340.5, 121, 0})
9.62,15,({340.5, 121, 0}{349, 116.5, 0})
45.71,9,({340.5, 121, 0}{295.5, 129, 0})
81.7,10,({340.5, 121, 0}{390, 186, 0})
82.5,0,({340.5, 121, 0}{340.5, 203.5, 0})
9.39,17,({273, 238.5, 0}{269, 247, 0})
28.81,14,({273, 238.5, 0}{255, 216, 0})
42.35,1,({273, 238.5, 0}{312, 222, 0})
49.03,2,({273, 238.5, 0}{283, 190.5, 0})
49.52,8,({273, 238.5, 0}{259, 191, 0})
25.32,8,({255, 216, 0}{259, 191, 0})
28.81,13,({255, 216, 0}{273, 238.5, 0})
34.01,17,({255, 216, 0}{269, 247, 0})
37.87,2,({255, 216, 0}{283, 190.5, 0})
39.76,4,({255, 216, 0}{280.5, 185.5, 0})
9.62,12,({349, 116.5, 0}{340.5, 121, 0})
9.62,11,({349, 116.5, 0}{340.5, 121, 0})
54.94,9,({349, 116.5, 0}{295.5, 129, 0})
80.69,10,({349, 116.5, 0}{390, 186, 0})
85.98,19,({349, 116.5, 0}{415.5, 171, 0})
10.26,18,({369, 255, 0}{376.5, 262, 0})
36.91,6,({369, 255, 0}{353.5, 221.5, 0})
37.7,5,({369, 255, 0}{355, 220, 0})
41.23,3,({369, 255, 0}{337, 229, 0})
58.86,0,({369, 255, 0}{340.5, 203.5, 0})
9.39,13,({269, 247, 0}{273, 238.5, 0})
34.01,14,({269, 247, 0}{255, 216, 0})
49.74,1,({269, 247, 0}{312, 222, 0})
56.89,8,({269, 247, 0}{259, 191, 0})
58.21,2,({269, 247, 0}{283, 190.5, 0})
10.26,16,({376.5, 262, 0}{369, 255, 0})
46.58,6,({376.5, 262, 0}{353.5, 221.5, 0})
47.18,5,({376.5, 262, 0}{355, 220, 0})
51.47,3,({376.5, 262, 0}{337, 229, 0})
68.69,0,({376.5, 262, 0}{340.5, 203.5, 0})
0.5,20,({415.5, 171, 0}{416, 171, 0})
29.58,10,({415.5, 171, 0}{390, 186, 0})
77.85,5,({415.5, 171, 0}{355, 220, 0})
79.96,6,({415.5, 171, 0}{353.5, 221.5, 0})
81.74,0,({415.5, 171, 0}{340.5, 203.5, 0})
0.5,19,({416, 171, 0}{415.5, 171, 0})
30.02,10,({416, 171, 0}{390, 186, 0})
78.24,5,({416, 171, 0}{355, 220, 0})
80.35,6,({416, 171, 0}{353.5, 221.5, 0})
82.2,0,({416, 171, 0}{340.5, 203.5, 0})
24.88,2,({293.5, 212, 0}{316.5, 221.5, 0})
25.28,3,({293.5, 212, 0}{316.5, 222.5, 0})
29.07,4,({293.5, 212, 0}{280.5, 186, 0})
29.74,5,({293.5, 212, 0}{280, 185.5, 0})
31.82,7,({293.5, 212, 0}{277.5, 239.5, 0})
8.63,6,({332, 206, 0}{340.5, 204.5, 0})
21.92,2,({332, 206, 0}{316.5, 221.5, 0})
22.64,3,({332, 206, 0}{316.5, 222.5, 0})
27.04,8,({332, 206, 0}{354.5, 221, 0})
28.43,9,({332, 206, 0}{355.5, 222, 0})
1,3,({316.5, 221.5, 0}{316.5, 222.5, 0})
21.92,1,({316.5, 221.5, 0}{332, 206, 0})
24.88,0,({316.5, 221.5, 0}{293.5, 212, 0})
29.41,6,({316.5, 221.5, 0}{340.5, 204.5, 0})
38,8,({316.5, 221.5, 0}{354.5, 221, 0})
1,2,({316.5, 222.5, 0}{316.5, 221.5, 0})
22.64,1,({316.5, 222.5, 0}{332, 206, 0})
25.28,0,({316.5, 222.5, 0}{293.5, 212, 0})
30,6,({316.5, 222.5, 0}{340.5, 204.5, 0})
38.03,8,({316.5, 222.5, 0}{354.5, 221, 0})
0.71,5,({280.5, 186, 0}{280, 185.5, 0})
29.07,0,({280.5, 186, 0}{293.5, 212, 0})
33.62,10,({280.5, 186, 0}{249.5, 199, 0})
35.78,11,({280.5, 186, 0}{245, 181.5, 0})
45.59,13,({280.5, 186, 0}{238, 202.5, 0})
0.71,4,({280, 185.5, 0}{280.5, 186, 0})
29.74,0,({280, 185.5, 0}{293.5, 212, 0})
33.35,10,({280, 185.5, 0}{249.5, 199, 0})
35.23,11,({280, 185.5, 0}{245, 181.5, 0})
45.31,13,({280, 185.5, 0}{238, 202.5, 0})
8.63,1,({340.5, 204.5, 0}{332, 206, 0})
21.64,8,({340.5, 204.5, 0}{354.5, 221, 0})
23.05,9,({340.5, 204.5, 0}{355.5, 222, 0})
29.41,2,({340.5, 204.5, 0}{316.5, 221.5, 0})
30,3,({340.5, 204.5, 0}{316.5, 222.5, 0})
31.82,0,({277.5, 239.5, 0}{293.5, 212, 0})
42.54,3,({277.5, 239.5, 0}{316.5, 222.5, 0})
42.95,2,({277.5, 239.5, 0}{316.5, 221.5, 0})
44.05,16,({277.5, 239.5, 0}{305.5, 273.5, 0})
44.36,15,({277.5, 239.5, 0}{306, 273.5, 0})
1.41,9,({354.5, 221, 0}{355.5, 222, 0})
21.64,6,({354.5, 221, 0}{340.5, 204.5, 0})
27.04,1,({354.5, 221, 0}{332, 206, 0})
38,2,({354.5, 221, 0}{316.5, 221.5, 0})
38.03,3,({354.5, 221, 0}{316.5, 222.5, 0})
1.41,8,({355.5, 222, 0}{354.5, 221, 0})
23.05,6,({355.5, 222, 0}{340.5, 204.5, 0})
28.43,1,({355.5, 222, 0}{332, 206, 0})
39,3,({355.5, 222, 0}{316.5, 222.5, 0})
39,2,({355.5, 222, 0}{316.5, 221.5, 0})
12.02,13,({249.5, 199, 0}{238, 202.5, 0})
18.07,11,({249.5, 199, 0}{245, 181.5, 0})
33.35,5,({249.5, 199, 0}{280, 185.5, 0})
33.62,4,({249.5, 199, 0}{280.5, 186, 0})
36.22,18,({249.5, 199, 0}{217, 183, 0})
18.07,10,({245, 181.5, 0}{249.5, 199, 0})
22.14,13,({245, 181.5, 0}{238, 202.5, 0})
28.04,18,({245, 181.5, 0}{217, 183, 0})
35.23,5,({245, 181.5, 0}{280, 185.5, 0})
35.78,4,({245, 181.5, 0}{280.5, 186, 0})
23.44,15,({325.5, 260.5, 0}{306, 273.5, 0})
23.85,16,({325.5, 260.5, 0}{305.5, 273.5, 0})
39.05,3,({325.5, 260.5, 0}{316.5, 222.5, 0})
40.02,2,({325.5, 260.5, 0}{316.5, 221.5, 0})
44.07,20,({325.5, 260.5, 0}{307, 300.5, 0})
12.02,10,({238, 202.5, 0}{249.5, 199, 0})
22.14,11,({238, 202.5, 0}{245, 181.5, 0})
28.66,18,({238, 202.5, 0}{217, 183, 0})
45.31,5,({238, 202.5, 0}{280, 185.5, 0})
45.59,4,({238, 202.5, 0}{280.5, 186, 0})
49.59,17,({299.5, 121, 0}{349, 118, 0})
56.98,21,({299.5, 121, 0}{243.5, 110.5, 0})
67.38,5,({299.5, 121, 0}{280, 185.5, 0})
67.72,4,({299.5, 121, 0}{280.5, 186, 0})
81.43,11,({299.5, 121, 0}{245, 181.5, 0})
0.5,16,({306, 273.5, 0}{305.5, 273.5, 0})
23.44,12,({306, 273.5, 0}{325.5, 260.5, 0})
27.02,20,({306, 273.5, 0}{307, 300.5, 0})
31,23,({306, 273.5, 0}{305.5, 304.5, 0})
35.36,24,({306, 273.5, 0}{286.5, 303, 0})
0.5,15,({305.5, 273.5, 0}{306, 273.5, 0})
23.85,12,({305.5, 273.5, 0}{325.5, 260.5, 0})
27.04,20,({305.5, 273.5, 0}{307, 300.5, 0})
31,23,({305.5, 273.5, 0}{305.5, 304.5, 0})
35.09,24,({305.5, 273.5, 0}{286.5, 303, 0})
48.3,19,({349, 118, 0}{388, 146.5, 0})
49.59,14,({349, 118, 0}{299.5, 121, 0})
86.92,6,({349, 118, 0}{340.5, 204.5, 0})
89.63,1,({349, 118, 0}{332, 206, 0})
96.52,4,({349, 118, 0}{280.5, 186, 0})
28.04,11,({217, 183, 0}{245, 181.5, 0})
28.66,13,({217, 183, 0}{238, 202.5, 0})
34.03,22,({217, 183, 0}{211, 149.5, 0})
36.22,10,({217, 183, 0}{249.5, 199, 0})
63.05,5,({217, 183, 0}{280, 185.5, 0})
48.3,17,({388, 146.5, 0}{349, 118, 0})
74.97,6,({388, 146.5, 0}{340.5, 204.5, 0})
81.69,8,({388, 146.5, 0}{354.5, 221, 0})
81.71,1,({388, 146.5, 0}{332, 206, 0})
82.2,9,({388, 146.5, 0}{355.5, 222, 0})
4.27,23,({307, 300.5, 0}{305.5, 304.5, 0})
20.65,24,({307, 300.5, 0}{286.5, 303, 0})
27.02,15,({307, 300.5, 0}{306, 273.5, 0})
27.04,16,({307, 300.5, 0}{305.5, 273.5, 0})
44.07,12,({307, 300.5, 0}{325.5, 260.5, 0})
50.77,22,({243.5, 110.5, 0}{211, 149.5, 0})
56.98,14,({243.5, 110.5, 0}{299.5, 121, 0})
71.02,11,({243.5, 110.5, 0}{245, 181.5, 0})
77.19,18,({243.5, 110.5, 0}{217, 183, 0})
83.41,5,({243.5, 110.5, 0}{280, 185.5, 0})
34.03,18,({211, 149.5, 0}{217, 183, 0})
46.69,11,({211, 149.5, 0}{245, 181.5, 0})
50.77,21,({211, 149.5, 0}{243.5, 110.5, 0})
59.48,13,({211, 149.5, 0}{238, 202.5, 0})
62.71,10,({211, 149.5, 0}{249.5, 199, 0})
4.27,20,({305.5, 304.5, 0}{307, 300.5, 0})
19.06,24,({305.5, 304.5, 0}{286.5, 303, 0})
31,16,({305.5, 304.5, 0}{305.5, 273.5, 0})
31,15,({305.5, 304.5, 0}{306, 273.5, 0})
48.33,12,({305.5, 304.5, 0}{325.5, 260.5, 0})
19.06,23,({286.5, 303, 0}{305.5, 304.5, 0})
20.65,20,({286.5, 303, 0}{307, 300.5, 0})
35.09,16,({286.5, 303, 0}{305.5, 273.5, 0})
35.36,15,({286.5, 303, 0}{306, 273.5, 0})
57.68,12,({286.5, 303, 0}{325.5, 260.5, 0})
22.41,3,({299, 207, 0}{316.5, 221, 0})
26.22,1,({299, 207, 0}{284, 185.5, 0})
27.5,2,({299, 207, 0}{282.5, 185, 0})
35.13,9,({299, 207, 0}{284.5, 239, 0})
41.58,4,({299, 207, 0}{340.5, 204.5, 0})
1.58,2,({284, 185.5, 0}{282.5, 185, 0})
26.22,0,({284, 185.5, 0}{299, 207, 0})
36.28,6,({284, 185.5, 0}{288.5, 149.5, 0})
48.13,3,({284, 185.5, 0}{316.5, 221, 0})
53.5,9,({284, 185.5, 0}{284.5, 239, 0})
1.58,1,({282.5, 185, 0}{284, 185.5, 0})
27.5,0,({282.5, 185, 0}{299, 207, 0})
36,6,({282.5, 185, 0}{288.5, 149.5, 0})
49.52,3,({282.5, 185, 0}{316.5, 221, 0})
54.04,9,({282.5, 185, 0}{284.5, 239, 0})
21.66,8,({316.5, 221, 0}{337, 228, 0})
21.66,7,({316.5, 221, 0}{337, 228, 0})
22.41,0,({316.5, 221, 0}{299, 207, 0})
29.12,4,({316.5, 221, 0}{340.5, 204.5, 0})
36.72,9,({316.5, 221, 0}{284.5, 239, 0})
22.02,11,({340.5, 204.5, 0}{354.5, 221.5, 0})
23.76,8,({340.5, 204.5, 0}{337, 228, 0})
23.76,7,({340.5, 204.5, 0}{337, 228, 0})
29.12,3,({340.5, 204.5, 0}{316.5, 221, 0})
34.63,5,({340.5, 204.5, 0}{337.5, 170, 0})
34.63,4,({337.5, 170, 0}{340.5, 204.5, 0})
53.12,6,({337.5, 170, 0}{288.5, 149.5, 0})
53.4,0,({337.5, 170, 0}{299, 207, 0})
54.23,11,({337.5, 170, 0}{354.5, 221.5, 0})
55.15,3,({337.5, 170, 0}{316.5, 221, 0})
36,2,({288.5, 149.5, 0}{282.5, 185, 0})
36.28,1,({288.5, 149.5, 0}{284, 185.5, 0})
37.57,15,({288.5, 149.5, 0}{271.5, 116, 0})
53.12,5,({288.5, 149.5, 0}{337.5, 170, 0})
58.45,0,({288.5, 149.5, 0}{299, 207, 0})
0,8,({337, 228, 0}{337, 228, 0})
18.67,11,({337, 228, 0}{354.5, 221.5, 0})
21.66,3,({337, 228, 0}{316.5, 221, 0})
23.76,4,({337, 228, 0}{340.5, 204.5, 0})
35.65,13,({337, 228, 0}{323.5, 261, 0})
0,7,({337, 228, 0}{337, 228, 0})
18.67,11,({337, 228, 0}{354.5, 221.5, 0})
21.66,3,({337, 228, 0}{316.5, 221, 0})
23.76,4,({337, 228, 0}{340.5, 204.5, 0})
35.65,13,({337, 228, 0}{323.5, 261, 0})
11.05,10,({284.5, 239, 0}{273.5, 240, 0})
16.12,12,({284.5, 239, 0}{270.5, 247, 0})
35.13,0,({284.5, 239, 0}{299, 207, 0})
36.72,3,({284.5, 239, 0}{316.5, 221, 0})
38.91,17,({284.5, 239, 0}{301.5, 274, 0})
7.62,12,({273.5, 240, 0}{270.5, 247, 0})
11.05,9,({273.5, 240, 0}{284.5, 239, 0})
41.7,0,({273.5, 240, 0}{299, 207, 0})
44.05,17,({273.5, 240, 0}{301.5, 274, 0})
44.6,16,({273.5, 240, 0}{303.5, 273, 0})
18.67,8,({354.5, 221.5, 0}{337, 228, 0})
18.67,7,({354.5, 221.5, 0}{337, 228, 0})
22.02,4,({354.5, 221.5, 0}{340.5, 204.5, 0})
38,3,({354.5, 221.5, 0}{316.5, 221, 0})
