Minor_dist,Minor_link,Minor_points
56.04,14,({252.5, 184, 0}{237.5, 130, 0})
62.51,0,({252.5, 184, 0}{314.5, 176, 0})
2,7,({353, 209, 0}{355, 209, 0})
25.6,10,({353, 209, 0}{358.5, 234, 0})
27.58,13,({353, 209, 0}{378.5, 219.5, 0})
37.12,17,({353, 209, 0}{379, 235.5, 0})
42.52,12,({353, 209, 0}{385, 181, 0})
2,6,({355, 209, 0}{353, 209, 0})
25.24,10,({355, 209, 0}{358.5, 234, 0})
25.74,13,({355, 209, 0}{378.5, 219.5, 0})
35.75,17,({355, 209, 0}{379, 235.5, 0})
41.04,12,({355, 209, 0}{385, 181, 0})
8.28,9,({235.5, 194, 0}{232, 186.5, 0})
19.72,5,({235.5, 194, 0}{252.5, 184, 0})
44.51,11,({235.5, 194, 0}{236.5, 149.5, 0})
64.03,14,({235.5, 194, 0}{237.5, 130, 0})
81.02,0,({235.5, 194, 0}{314.5, 176, 0})
8.28,8,({232, 186.5, 0}{235.5, 194, 0})
20.65,5,({232, 186.5, 0}{252.5, 184, 0})
37.27,11,({232, 186.5, 0}{236.5, 149.5, 0})
56.77,14,({232, 186.5, 0}{237.5, 130, 0})
83.17,0,({232, 186.5, 0}{314.5, 176, 0})
20.55,17,({358.5, 234, 0}{379, 235.5, 0})
24.7,13,({358.5, 234, 0}{378.5, 219.5, 0})
25.24,7,({358.5, 234, 0}{355, 209, 0})
25.6,6,({358.5, 234, 0}{353, 209, 0})
59.26,12,({358.5, 234, 0}{385, 181, 0})
19.53,14,({236.5, 149.5, 0}{237.5, 130, 0})
37.27,9,({236.5, 149.5, 0}{232, 186.5, 0})
38.03,5,({236.5, 149.5, 0}{252.5, 184, 0})
44.51,8,({236.5, 149.5, 0}{235.5, 194, 0})
82.38,0,({236.5, 149.5, 0}{314.5, 176, 0})
34.56,20,({385, 181, 0}{387, 146.5, 0})
39.04,13,({385, 181, 0}{378.5, 219.5, 0})
41.04,7,({385, 181, 0}{355, 209, 0})
42.52,6,({385, 181, 0}{353, 209, 0})
49.19,3,({385, 181, 0}{338, 166.5, 0})
16.01,17,({378.5, 219.5, 0}{379, 235.5, 0})
24.7,10,({378.5, 219.5, 0}{358.5, 234, 0})
25.74,7,({378.5, 219.5, 0}{355, 209, 0})
27.58,6,({378.5, 219.5, 0}{353, 209, 0})
39.04,12,({378.5, 219.5, 0}{385, 181, 0})
19.53,11,({237.5, 130, 0}{236.5, 149.5, 0})
56.04,5,({237.5, 130, 0}{252.5, 184, 0})
56.77,9,({237.5, 130, 0}{232, 186.5, 0})
64.03,8,({237.5, 130, 0}{235.5, 194, 0})
89.69,0,({237.5, 130, 0}{314.5, 176, 0})
0,16,({296.5, 275.5, 0}{296.5, 275.5, 0})
11.18,19,({296.5, 275.5, 0}{307.5, 277.5, 0})
11.18,18,({296.5, 275.5, 0}{307.5, 277.5, 0})
74.61,10,({296.5, 275.5, 0}{358.5, 234, 0})
87.26,6,({296.5, 275.5, 0}{353, 209, 0})
0,15,({296.5, 275.5, 0}{296.5, 275.5, 0})
11.18,19,({296.5, 275.5, 0}{307.5, 277.5, 0})
11.18,18,({296.5, 275.5, 0}{307.5, 277.5, 0})
74.61,10,({296.5, 275.5, 0}{358.5, 234, 0})
87.26,6,({296.5, 275.5, 0}{353, 209, 0})
16.01,13,({379, 235.5, 0}{378.5, 219.5, 0})
20.55,10,({379, 235.5, 0}{358.5, 234, 0})
35.75,7,({379, 235.5, 0}{355, 209, 0})
37.12,6,({379, 235.5, 0}{353, 209, 0})
54.83,12,({379, 235.5, 0}{385, 181, 0})
0,19,({307.5, 277.5, 0}{307.5, 277.5, 0})
11.18,16,({307.5, 277.5, 0}{296.5, 275.5, 0})
11.18,15,({307.5, 277.5, 0}{296.5, 275.5, 0})
67.03,10,({307.5, 277.5, 0}{358.5, 234, 0})
82.23,6,({307.5, 277.5, 0}{353, 209, 0})
0,18,({307.5, 277.5, 0}{307.5, 277.5, 0})
11.18,16,({307.5, 277.5, 0}{296.5, 275.5, 0})
11.18,15,({307.5, 277.5, 0}{296.5, 275.5, 0})
67.03,10,({307.5, 277.5, 0}{358.5, 234, 0})
82.23,6,({307.5, 277.5, 0}{353, 209, 0})
34.56,12,({387, 146.5, 0}{385, 181, 0})
52.55,4,({387, 146.5, 0}{338, 165.5, 0})
52.92,3,({387, 146.5, 0}{338, 166.5, 0})
59.48,2,({387, 146.5, 0}{330, 163.5, 0})
70.22,7,({387, 146.5, 0}{355, 209, 0})
1.12,1,({281, 165.5, 0}{280, 166, 0})
34.12,5,({281, 165.5, 0}{307.5, 144, 0})
39.29,3,({281, 165.5, 0}{319, 155.5, 0})
40.14,2,({281, 165.5, 0}{320, 156, 0})
54.11,11,({281, 165.5, 0}{235, 194, 0})
1.12,0,({280, 166, 0}{281, 165.5, 0})
35.22,5,({280, 166, 0}{307.5, 144, 0})
40.39,3,({280, 166, 0}{319, 155.5, 0})
41.23,2,({280, 166, 0}{320, 156, 0})
53,11,({280, 166, 0}{235, 194, 0})
1.12,3,({320, 156, 0}{319, 155.5, 0})
17.33,5,({320, 156, 0}{307.5, 144, 0})
40.14,0,({320, 156, 0}{281, 165.5, 0})
41.23,1,({320, 156, 0}{280, 166, 0})
51.48,19,({320, 156, 0}{313, 105, 0})
1.12,2,({319, 155.5, 0}{320, 156, 0})
16.26,5,({319, 155.5, 0}{307.5, 144, 0})
39.29,0,({319, 155.5, 0}{281, 165.5, 0})
40.39,1,({319, 155.5, 0}{280, 166, 0})
50.86,19,({319, 155.5, 0}{313, 105, 0})
17.68,6,({337.5, 217, 0}{353, 208.5, 0})
19.91,7,({337.5, 217, 0}{355, 207.5, 0})
40.53,12,({337.5, 217, 0}{378, 218.5, 0})
41.03,13,({337.5, 217, 0}{378.5, 218.5, 0})
49.73,18,({337.5, 217, 0}{386, 206, 0})
16.26,3,({307.5, 144, 0}{319, 155.5, 0})
17.33,2,({307.5, 144, 0}{320, 156, 0})
34.12,0,({307.5, 144, 0}{281, 165.5, 0})
35.22,1,({307.5, 144, 0}{280, 166, 0})
39.39,19,({307.5, 144, 0}{313, 105, 0})
2.24,7,({353, 208.5, 0}{355, 207.5, 0})
17.68,4,({353, 208.5, 0}{337.5, 217, 0})
26.93,12,({353, 208.5, 0}{378, 218.5, 0})
27.39,13,({353, 208.5, 0}{378.5, 218.5, 0})
33.09,18,({353, 208.5, 0}{386, 206, 0})
2.24,6,({355, 207.5, 0}{353, 208.5, 0})
19.91,4,({355, 207.5, 0}{337.5, 217, 0})
25.5,12,({355, 207.5, 0}{378, 218.5, 0})
25.95,13,({355, 207.5, 0}{378.5, 218.5, 0})
31.04,18,({355, 207.5, 0}{386, 206, 0})
18.51,11,({246.5, 208.5, 0}{235, 194, 0})
20.01,10,({246.5, 208.5, 0}{251, 228, 0})
20.13,9,({246.5, 208.5, 0}{251.5, 228, 0})
54.12,1,({246.5, 208.5, 0}{280, 166, 0})
55.13,0,({246.5, 208.5, 0}{281, 165.5, 0})
0.5,10,({251.5, 228, 0}{251, 228, 0})
20.13,8,({251.5, 228, 0}{246.5, 208.5, 0})
37.79,11,({251.5, 228, 0}{235, 194, 0})
44.6,23,({251.5, 228, 0}{266.5, 270, 0})
45.59,22,({251.5, 228, 0}{268, 270.5, 0})
0.5,9,({251, 228, 0}{251.5, 228, 0})
20.01,8,({251, 228, 0}{246.5, 208.5, 0})
37.58,11,({251, 228, 0}{235, 194, 0})
44.77,23,({251, 228, 0}{266.5, 270, 0})
45.77,22,({251, 228, 0}{268, 270.5, 0})
18.51,8,({235, 194, 0}{246.5, 208.5, 0})
37.58,10,({235, 194, 0}{251, 228, 0})
37.79,9,({235, 194, 0}{251.5, 228, 0})
53,1,({235, 194, 0}{280, 166, 0})
54.11,0,({235, 194, 0}{281, 165.5, 0})
0.5,13,({378, 218.5, 0}{378.5, 218.5, 0})
14.84,18,({378, 218.5, 0}{386, 206, 0})
14.84,17,({378, 218.5, 0}{386, 206, 0})
25.5,7,({378, 218.5, 0}{355, 207.5, 0})
26.93,6,({378, 218.5, 0}{353, 208.5, 0})
0.5,12,({378.5, 218.5, 0}{378, 218.5, 0})
14.58,18,({378.5, 218.5, 0}{386, 206, 0})
14.58,17,({378.5, 218.5, 0}{386, 206, 0})
25.95,7,({378.5, 218.5, 0}{355, 207.5, 0})
27.39,6,({378.5, 218.5, 0}{353, 208.5, 0})
25.02,18,({385, 181, 0}{386, 206, 0})
25.02,17,({385, 181, 0}{386, 206, 0})
38.06,13,({385, 181, 0}{378.5, 218.5, 0})
38.15,12,({385, 181, 0}{378, 218.5, 0})
40.03,7,({385, 181, 0}{355, 207.5, 0})
0,16,({308.5, 271.5, 0}{308.5, 271.5, 0})
4.61,21,({308.5, 271.5, 0}{307.5, 276, 0})
4.61,20,({308.5, 271.5, 0}{307.5, 276, 0})
40.51,22,({308.5, 271.5, 0}{268, 270.5, 0})
42.03,23,({308.5, 271.5, 0}{266.5, 270, 0})
0,15,({308.5, 271.5, 0}{308.5, 271.5, 0})
4.61,21,({308.5, 271.5, 0}{307.5, 276, 0})
4.61,20,({308.5, 271.5, 0}{307.5, 276, 0})
40.51,22,({308.5, 271.5, 0}{268, 270.5, 0})
42.03,23,({308.5, 271.5, 0}{266.5, 270, 0})
0,18,({386, 206, 0}{386, 206, 0})
14.58,13,({386, 206, 0}{378.5, 218.5, 0})
14.84,12,({386, 206, 0}{378, 218.5, 0})
25.02,14,({386, 206, 0}{385, 181, 0})
31.04,7,({386, 206, 0}{355, 207.5, 0})
0,17,({386, 206, 0}{386, 206, 0})
14.58,13,({386, 206, 0}{378.5, 218.5, 0})
14.84,12,({386, 206, 0}{378, 218.5, 0})
25.02,14,({386, 206, 0}{385, 181, 0})
31.04,7,({386, 206, 0}{355, 207.5, 0})
27.17,24,({313, 105, 0}{340, 108, 0})
27.61,25,({313, 105, 0}{340.5, 107.5, 0})
39.39,5,({313, 105, 0}{307.5, 144, 0})
50.86,3,({313, 105, 0}{319, 155.5, 0})
51.48,2,({313, 105, 0}{320, 156, 0})
0,21,({307.5, 276, 0}{307.5, 276, 0})
4.61,16,({307.5, 276, 0}{308.5, 271.5, 0})
4.61,15,({307.5, 276, 0}{308.5, 271.5, 0})
39.88,22,({307.5, 276, 0}{268, 270.5, 0})
41.44,23,({307.5, 276, 0}{266.5, 270, 0})
0,20,({307.5, 276, 0}{307.5, 276, 0})
4.61,16,({307.5, 276, 0}{308.5, 271.5, 0})
4.61,15,({307.5, 276, 0}{308.5, 271.5, 0})
39.88,22,({307.5, 276, 0}{268, 270.5, 0})
41.44,23,({307.5, 276, 0}{266.5, 270, 0})
1.58,23,({268, 270.5, 0}{266.5, 270, 0})
39.88,21,({268, 270.5, 0}{307.5, 276, 0})
39.88,20,({268, 270.5, 0}{307.5, 276, 0})
40.51,16,({268, 270.5, 0}{308.5, 271.5, 0})
40.51,15,({268, 270.5, 0}{308.5, 271.5, 0})
1.58,22,({266.5, 270, 0}{268, 270.5, 0})
41.44,21,({266.5, 270, 0}{307.5, 276, 0})
41.44,20,({266.5, 270, 0}{307.5, 276, 0})
42.03,16,({266.5, 270, 0}{308.5, 271.5, 0})
42.03,15,({266.5, 270, 0}{308.5, 271.5, 0})
0.71,25,({340, 108, 0}{340.5, 107.5, 0})
27.17,19,({340, 108, 0}{313, 105, 0})
48.5,5,({340, 108, 0}{307.5, 144, 0})
51.94,3,({340, 108, 0}{319, 155.5, 0})
52,2,({340, 108, 0}{320, 156, 0})
0.71,24,({340.5, 107.5, 0}{340, 108, 0})
27.61,19,({340.5, 107.5, 0}{313, 105, 0})
49.21,5,({340.5, 107.5, 0}{307.5, 144, 0})
52.6,3,({340.5, 107.5, 0}{319, 155.5, 0})
52.65,2,({340.5, 107.5, 0}{320, 156, 0})
23.41,6,({333, 201, 0}{355, 209, 0})
34.51,3,({333, 201, 0}{334, 166.5, 0})
35.53,4,({333, 201, 0}{334.5, 165.5, 0})
50.16,11,({333, 201, 0}{379, 221, 0})
55.71,12,({333, 201, 0}{385, 181, 0})
0.71,2,({282, 178, 0}{281.5, 177.5, 0})
16.62,5,({282, 178, 0}{270.5, 166, 0})
36.09,7,({282, 178, 0}{246.5, 184.5, 0})
36.67,8,({282, 178, 0}{246, 185, 0})
50.2,9,({282, 178, 0}{286.5, 128, 0})
0.71,1,({281.5, 177.5, 0}{282, 178, 0})
15.91,5,({281.5, 177.5, 0}{270.5, 166, 0})
35.69,7,({281.5, 177.5, 0}{246.5, 184.5, 0})
36.28,8,({281.5, 177.5, 0}{246, 185, 0})
49.75,9,({281.5, 177.5, 0}{286.5, 128, 0})
1.12,4,({334, 166.5, 0}{334.5, 165.5, 0})
34.51,0,({334, 166.5, 0}{333, 201, 0})
47.41,6,({334, 166.5, 0}{355, 209, 0})
53.02,12,({334, 166.5, 0}{385, 181, 0})
53.26,1,({334, 166.5, 0}{282, 178, 0})
