Major_dist,Major_link,Major_points
12.82,21,({226, 266.5, 0}{221.5, 254.5, 0})
13.73,17,({226, 266.5, 0}{223.5, 253, 0})
19.6,35,({226, 266.5, 0}{206.5, 264.5, 0})
22.64,32,({226, 266.5, 0}{206.5, 255, 0})
29.54,2,({226, 266.5, 0}{242.5, 242, 0})
2,24,({244, 188.5, 0}{244, 186.5, 0})
2.55,25,({244, 188.5, 0}{244.5, 186, 0})
8.08,16,({244, 188.5, 0}{247, 196, 0})
8.28,14,({244, 188.5, 0}{247.5, 196, 0})
9.71,11,({244, 188.5, 0}{249.5, 196.5, 0})
0.71,25,({244, 186.5, 0}{244.5, 186, 0})
2,23,({244, 186.5, 0}{244, 188.5, 0})
9.96,16,({244, 186.5, 0}{247, 196, 0})
10.12,14,({244, 186.5, 0}{247.5, 196, 0})
11.41,11,({244, 186.5, 0}{249.5, 196.5, 0})
0.71,24,({244.5, 186, 0}{244, 186.5, 0})
2.55,23,({244.5, 186, 0}{244, 188.5, 0})
10.31,16,({244.5, 186, 0}{247, 196, 0})
10.44,14,({244.5, 186, 0}{247.5, 196, 0})
11.63,11,({244.5, 186, 0}{249.5, 196.5, 0})
3.64,30,({274.5, 290, 0}{278, 291, 0})
3.64,29,({274.5, 290, 0}{278, 291, 0})
12.66,15,({274.5, 290, 0}{276.5, 277.5, 0})
14.12,18,({274.5, 290, 0}{280, 277, 0})
15.4,28,({274.5, 290, 0}{289.5, 286.5, 0})
21.05,32,({208, 234, 0}{206.5, 255, 0})
24.52,17,({208, 234, 0}{223.5, 253, 0})
24.55,21,({208, 234, 0}{221.5, 254.5, 0})
30.54,35,({208, 234, 0}{206.5, 264.5, 0})
35.42,2,({208, 234, 0}{242.5, 242, 0})
12.35,30,({289.5, 286.5, 0}{278, 291, 0})
12.35,29,({289.5, 286.5, 0}{278, 291, 0})
13.44,18,({289.5, 286.5, 0}{280, 277, 0})
15.4,26,({289.5, 286.5, 0}{274.5, 290, 0})
15.81,15,({289.5, 286.5, 0}{276.5, 277.5, 0})
0,30,({278, 291, 0}{278, 291, 0})
3.64,26,({278, 291, 0}{274.5, 290, 0})
12.35,28,({278, 291, 0}{289.5, 286.5, 0})
13.58,15,({278, 291, 0}{276.5, 277.5, 0})
14.14,18,({278, 291, 0}{280, 277, 0})
0,29,({278, 291, 0}{278, 291, 0})
3.64,26,({278, 291, 0}{274.5, 290, 0})
12.35,28,({278, 291, 0}{289.5, 286.5, 0})
13.58,15,({278, 291, 0}{276.5, 277.5, 0})
14.14,18,({278, 291, 0}{280, 277, 0})
3.2,33,({319, 257.5, 0}{321, 260, 0})
9.9,34,({319, 257.5, 0}{326, 250.5, 0})
17.61,19,({319, 257.5, 0}{301.5, 259.5, 0})
18.25,10,({319, 257.5, 0}{301, 254.5, 0})
19.73,9,({319, 257.5, 0}{299.5, 254.5, 0})
9.5,35,({206.5, 255, 0}{206.5, 264.5, 0})
15.01,21,({206.5, 255, 0}{221.5, 254.5, 0})
17.12,17,({206.5, 255, 0}{223.5, 253, 0})
21.05,27,({206.5, 255, 0}{208, 234, 0})
22.64,22,({206.5, 255, 0}{226, 266.5, 0})
3.2,31,({321, 260, 0}{319, 257.5, 0})
10.74,34,({321, 260, 0}{326, 250.5, 0})
19.51,19,({321, 260, 0}{301.5, 259.5, 0})
20.74,10,({321, 260, 0}{301, 254.5, 0})
22.19,9,({321, 260, 0}{299.5, 254.5, 0})
9.9,31,({326, 250.5, 0}{319, 257.5, 0})
10.74,33,({326, 250.5, 0}{321, 260, 0})
25.32,10,({326, 250.5, 0}{301, 254.5, 0})
26.1,19,({326, 250.5, 0}{301.5, 259.5, 0})
26.8,9,({326, 250.5, 0}{299.5, 254.5, 0})
9.5,32,({206.5, 264.5, 0}{206.5, 255, 0})
18.03,21,({206.5, 264.5, 0}{221.5, 254.5, 0})
19.6,22,({206.5, 264.5, 0}{226, 266.5, 0})
20.52,17,({206.5, 264.5, 0}{223.5, 253, 0})
30.54,27,({206.5, 264.5, 0}{208, 234, 0})
0.71,2,({289, 184, 0}{289.5, 183.5, 0})
3.91,3,({289, 184, 0}{286.5, 181, 0})
4.72,1,({289, 184, 0}{285, 181.5, 0})
16.98,5,({289, 184, 0}{305.5, 180, 0})
17.01,7,({289, 184, 0}{304.5, 177, 0})
1.58,3,({285, 181.5, 0}{286.5, 181, 0})
4.72,0,({285, 181.5, 0}{289, 184, 0})
4.92,2,({285, 181.5, 0}{289.5, 183.5, 0})
16.76,4,({285, 181.5, 0}{269, 176.5, 0})
20.01,7,({285, 181.5, 0}{304.5, 177, 0})
0.71,0,({289.5, 183.5, 0}{289, 184, 0})
