timestep, mesh 1 face centerpoint, mesh 1 color code, mesh 1 normal, Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance, Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
24,(21.25, -21.75, 10.5),(239,39,37),(0.18, 0.25, 0.95),0,0,
25,(22.5, 24, 10.75),(243,57,0),(-0.37, 0.3, 0.88),0,0,
25,(22.5, 24, 10.75),(232,23,68),(-0.37, 0.3, 0.88),0,0,
25,(22.5, 24, 10.75),(239,40,34),(-0.37, 0.3, 0.88),0,0,
26,(-26.25, 24.25, 11),(243,57,0),(-0.29, -0.22, -0.93),0,0,
26,(-26.25, 24.25, 11),(233,24,66),(-0.29, -0.22, -0.93),0,0,
26,(-26.25, 24.25, 11),(239,41,32),(-0.29, -0.22, -0.93),0,0,
27,(-26, -26, 11.25),(243,57,0),(0.23, -0.3, -0.93),0,0,
27,(-26, -26, 11.25),(234,25,64),(0.23, -0.3, -0.93),0,0,
27,(-26, -26, 11.25),(239,42,30),(0.23, -0.3, -0.93),0,0,
28,(25.75, -26.25, 11.5),(243,57,0),(0.16, 0.25, 0.96),0,0,
28,(25.75, -26.25, 11.5),(235,26,62),(0.16, 0.25, 0.96),0,0,
28,(25.75, -26.25, 11.5),(240,43,28),(0.16, 0.25, 0.96),0,0,
29,(25.5, 27, 11.75),(243,57,0),(-0.39, 0.3, 0.87),0,0,
29,(25.5, 27, 11.75),(235,26,62),(-0.39, 0.3, 0.87),0,0,
29,(25.5, 27, 11.75),(240,43,28),(-0.39, 0.3, 0.87),0,0,
30,(-29.25, 27.25, 12),(243,57,0),(-0.31, -0.22, -0.92),0,0,
30,(-29.25, 27.25, 12),(236,27,61),(-0.31, -0.22, -0.92),0,0,
30,(-29.25, 27.25, 12),(240,44,27),(-0.31, -0.22, -0.92),0,0,
31,(-32, -32, 12.25),(243,57,0),(0.21, -0.3, -0.93),0,0,
31,(-32, -32, 12.25),(236,27,59),(0.21, -0.3, -0.93),0,0,
31,(-32, -32, 12.25),(241,46,21),(0.21, -0.3, -0.93),0,0,
32,(31.75, -32.25, 12.5),(243,57,0),(0.15, 0.25, 0.96),0,0,
32,(31.75, -32.25, 12.5),(236,28,59),(0.15, 0.25, 0.96),0,0,
32,(31.75, -32.25, 12.5),(241,47,20),(0.15, 0.25, 0.96),0,0,
33,(32.5, 34, 12.75),(243,57,0),(-0.4, 0.3, 0.86),0,0,
33,(32.5, 34, 12.75),(236,28,58),(-0.4, 0.3, 0.86),0,0,
