O(-89710298847962000000000.00,1304512042629010000000000.00,-16289246973891500000000.00) Z(-0.72,-0.06,-0.69) K1{0.693265,0.038689,-0.719644} K2{-0.068602,0.997566,-0.012456}
O(23968834736480600000000.00,939837163152434000000000.00,-7912415390075230000000.00) Z(-0.55,0.01,-0.83) K1{0.832664,-0.025893,-0.553173} K2{0.025494,0.99964,-0.008416}
O(146194808519219000000000.00,527391479537454000000000.00,1287967488256420000000.00) Z(-0.31,0.09,-0.95) K1{0.913545,-0.252459,-0.318904} K2{0.267129,0.963658,0.002353}
O(273261769893246000000000.00,39318082618751800000000.00,11417173290848400000000.00) Z(0.02,0.17,-0.99) K1{0.147255,-0.974846,-0.167307} K2{0.988961,0.142296,0.04132}
O(403615040428061000000000.00,-506210227428030000000000.00,22235126744090700000000.00) Z(0.34,0.23,-0.91) K1{-0.706127,-0.580805,-0.405032} K2{0.623052,-0.781427,0.034324}
O(540780819806093000000000.00,-1118526576551790000000000.00,33982822527993700000000.00) Z(0.57,0.25,-0.79) K1{-0.70085,-0.357596,-0.617199} K2{0.43511,-0.899962,0.027342}
O(688483768815591000000000.00,-1823344111136620000000000.00,47065765104849700000000.00) Z(0.71,0.25,-0.66) K1{0.614624,0.251378,0.747694} K2{-0.353147,0.935256,-0.024142}
O(851828560543584000000000.00,-2664686012620200000000000.00,62123294006946800000000.00) Z(0.79,0.24,-0.56) K1{-0.532669,-0.18951,-0.824833} K2{0.304418,-0.95228,0.022201}
O(1251442372714520000000000.00,-5141061060963050000000000.00,102940549256905000000000.00) Z(0.88,0.20,-0.43) K1{0.417343,0.119628,0.900841} K2{-0.23647,0.971444,-0.019451}
O(-3751588395808980000000000.00,-8832399845870230000000000.00,-77805008813748200000000.00) Z(0.76,-0.32,-0.57) K1{-0.523737,0.229685,-0.820332} K2{-0.390935,-0.920382,-0.008108}
O(-3125868191170460000000000.00,-6262889927131350000000000.00,-75264848499458900000000.00) Z(0.69,-0.34,-0.64) K1{0.573163,-0.295257,0.7644} K2{0.44655,0.894694,0.010752}
O(-2161744551969700000000000.00,-3623146406109670000000000.00,-58790888320754300000000.00) Z(0.57,-0.33,-0.75) K1{0.639204,-0.392115,0.661562} K2{0.512328,0.858677,0.013933}
O(-1316040964490920000000000.00,-1637117122789730000000000.00,-41203892851380500000000.00) Z(0.39,-0.29,-0.87) K1{-0.675274,0.555062,-0.485707} K2{-0.626415,-0.779243,-0.019612}
O(-885146258044796000000000.00,-690948453223667000000000.00,-31617390643611900000000.00) Z(0.22,-0.24,-0.94) K1{-0.573801,0.750117,-0.328749} K2{-0.787959,-0.615084,-0.028146}
O(-430929916868116000000000.00,270700102693911000000000.00,-21171901983831000000000.00) Z(-0.05,-0.15,-0.99) K1{0.531161,0.833783,-0.15058} K2{-0.846055,0.531472,-0.041567}
O(60484804309898400000000.00,1276406635859750000000000.00,-9540678311358010000000.00) Z(-0.43,0.01,-0.90) K1{0.901124,-0.045924,-0.431122} K2{0.047332,0.998851,-0.007466}
O(606481889405871000000000.00,2357228863233540000000000.00,3730769235802710000000.00) Z(-0.77,0.20,-0.60) K1{-0.585946,0.149495,0.796441} K2{-0.249171,-0.968458,-0.001533}
O(1232040211793630000000000.00,3553251077943980000000000.00,19338710447365800000000.00) Z(-0.91,0.32,-0.26) K1{0.251909,-0.082098,-0.964262} K2{0.327597,0.944803,0.005142}
O(1978212127279050000000000.00,4925000574028170000000000.00,38478420726674400000000.00) Z(-0.93,0.37,-0.02) K1{0.020159,-0.000286,-0.999797} K2{0.372714,0.927918,0.00725}
O(2924622060690930000000000.00,6580811578134890000000000.00,63554476950027800000000.00) Z(-0.90,0.40,0.15) K1{0.129955,-0.067308,0.989233} K2{-0.406101,-0.913785,-0.008825}
O(4273374517269850000000000.00,8768223833694900000000000.00,100931445112936000000000.00) Z(-0.87,0.42,0.27) K1{-0.235516,0.125877,-0.963684} K2{0.438085,0.898874,0.010347}
O(7125478659416640000000000.00,12467434477072300000000000.00,188787972039631000000000.00) Z(-0.80,0.45,0.40) K1{-0.339713,0.208045,-0.917231} K2{0.496161,0.868131,0.013146}
O(13528528796912100000000000.00,9231900048527910000000000.00,495886267861516000000000.00) Z(-0.47,0.66,0.59) K1{-0.310738,0.498818,-0.809087} K2{0.825624,0.563408,0.030263}
O(7631107113302830000000000.00,3407755263395070000000000.00,296849609949027000000000.00) Z(-0.38,0.81,0.45) K1{-0.155142,0.425096,-0.891753} K2{0.912517,0.407495,0.035497}
O(5912486506532930000000000.00,2370519537849690000000000.00,232563420404409000000000.00) Z(-0.36,0.85,0.38) K1{0.110274,-0.36571,0.924173} K2{-0.927559,-0.37189,-0.036485}
O(4410895903664470000000000.00,1499144475191140000000000.00,176063375026652000000000.00) Z(-0.32,0.92,0.23) K1{0.040839,-0.234234,0.971322} K2{-0.946134,-0.321565,-0.037765}
O(1246742948792870000000000.00,-202127602135991000000000.00,55722355556011800000000.00) Z(0.12,0.50,-0.86) K1{-0.115495,-0.852794,-0.509317} K2{0.986152,-0.159879,0.044075}
O(-491620274981006000000000.00,-1080346102708600000000000.00,-10929499638780500000000.00) Z(0.30,-0.13,-0.94) K1{-0.858919,0.394165,-0.326944} K2{-0.414172,-0.910152,-0.009208}
O(-2385477886507720000000000.00,-2001807672700220000000000.00,-83879451980630300000000.00) Z(0.33,-0.36,-0.87) K1{0.550141,-0.676119,0.490109} K2{0.765742,0.642584,0.026925}
O(-13897074627156000000000000.00,-6885609159232930000000000.00,-534124768398359000000000.00) Z(0.32,-0.58,-0.75) K1{0.313706,-0.684215,0.65836} K2{0.895513,0.443702,0.034418}
O(-22582691281512300000000000.00,-8428300572282310000000000.00,-894232195140434000000000.00) Z(0.27,-0.64,-0.72) K1{0.227285,-0.682669,0.694482} K2{0.936232,0.34942,0.037073}
O(-14505195043629000000000000.00,2741365403879220000000000.00,-652010614688059000000000.00) Z(-0.09,-0.66,-0.75) K1{0.167828,0.7306,-0.66186} K2{-0.981649,0.185524,-0.044125}
